DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:40:16.872,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
7834262,1.0000,0.0005,-0.0002,0.0003,0.0086,0.0045,0.3112,0.2583,0.1402,9.3346,0.0271,-0.0090,0.0194,0.1316,0.4836,-0.6753,0.9925,0.0096,-0.0126,0.1215,0.9133,-1.5619,13.9507,0
7834595,1.0000,0.0004,-0.0002,0.0003,0.0089,0.0044,0.3109,0.2686,0.1372,9.3262,0.0263,-0.0093,0.0197,0.1316,0.4817,-0.6758,0.9925,0.0096,-0.0125,0.1215,0.9120,-1.5604,13.9520,0
7834928,1.0000,0.0004,-0.0002,0.0003,0.0085,0.0047,0.3109,0.2563,0.1438,9.3262,0.0266,-0.0095,0.0187,0.1323,0.4812,-0.6812,0.9925,0.0095,-0.0125,0.1216,0.9112,-1.5591,13.9529,0
7835262,1.0000,0.0004,-0.0002,0.0003,0.0085,0.0044,0.3113,0.2573,0.1366,9.3403,0.0268,-0.0091,0.0197,0.1340,0.4851,-0.6758,0.9925,0.0095,-0.0125,0.1216,0.9109,-1.5572,13.9553,0
7835595,1.0000,0.0005,-0.0002,0.0003,0.0086,0.0049,0.3115,0.2595,0.1517,9.3436,0.0272,-0.0101,0.0188,0.1292,0.4871,-0.6768,0.9925,0.0095,-0.0125,0.1216,0.9112,-1.5573,13.9543,0
7835928,1.0000,0.0004,-0.0002,0.0003,0.0088,0.0048,0.3112,0.2650,0.1492,9.3355,0.0268,-0.0103,0.0191,0.1296,0.4822,-0.6772,0.9925,0.0095,-0.0125,0.1216,0.9109,-1.5576,13.9538,0
7836262,1.0000,0.0005,-0.0001,0.0003,0.0089,0.0047,0.3113,0.2686,0.1442,9.3393,0.0274,-0.0088,0.0194,0.1331,0.4827,-0.6763,0.9925,0.0095,-0.0125,0.1216,0.9117,-1.5551,13.9546,0
7836595,1.0000,0.0004,-0.0002,0.0003,0.0084,0.0046,0.3108,0.2539,0.1417,9.3249,0.0269,-0.0097,0.0191,0.1318,0.4861,-0.6782,0.9925,0.0095,-0.0125,0.1216,0.9115,-1.5543,13.9548,0
7836928,1.0000,0.0004,-0.0002,0.0003,0.0085,0.0048,0.3106,0.2551,0.1472,9.3176,0.0267,-0.0099,0.0193,0.1282,0.4841,-0.6782,0.9925,0.0095,-0.0125,0.1216,0.9110,-1.5540,13.9554,0
7837262,1.0000,0.0004,-0.0002,0.0003,0.0087,0.0049,0.3110,0.2621,0.1496,9.3313,0.0262,-0.0097,0.0182,0.1338,0.4856,-0.6777,0.9925,0.0095,-0.0125,0.1216,0.9094,-1.5532,13.9537,0
7837595,1.0000,0.0005,-0.0002,0.0003,0.0086,0.0048,0.3108,0.2598,0.1470,9.3234,0.0271,-0.0101,0.0190,0.1287,0.4836,-0.6768,0.9925,0.0095,-0.0125,0.1216,0.9097,-1.5532,13.9559,0
7837928,1.0000,0.0005,-0.0002,0.0003,0.0090,0.0047,0.3116,0.2716,0.1464,9.3489,0.0278,-0.0099,0.0186,0.1316,0.4827,-0.6763,0.9925,0.0095,-0.0125,0.1216,0.9113,-1.5527,13.9539,0
7838262,1.0000,0.0004,-0.0002,0.0003,0.0086,0.0047,0.3111,0.2587,0.1449,9.3319,0.0269,-0.0101,0.0187,0.1282,0.4836,-0.6763,0.9925,0.0095,-0.0125,0.1216,0.9112,-1.5526,13.9538,0
7838595,1.0000,0.0005,-0.0002,0.0003,0.0087,0.0046,0.3108,0.2631,0.1415,9.3225,0.0273,-0.0098,0.0184,0.1292,0.4846,-0.6763,0.9925,0.0095,-0.0125,0.1215,0.9118,-1.5520,13.9524,0
7838929,1.0000,0.0005,-0.0001,0.0003,0.0083,0.0048,0.3112,0.2499,0.1483,9.3370,0.0297,-0.0084,0.0197,0.1292,0.4841,-0.6748,0.9925,0.0096,-0.0124,0.1216,0.9169,-1.5486,13.9537,0
7839262,1.0000,0.0003,-0.0002,0.0003,0.0089,0.0045,0.3110,0.2678,0.1371,9.3288,0.0190,-0.0095,0.0192,0.1282,0.4827,-0.6772,0.9925,0.0094,-0.0124,0.1216,0.9016,-1.5475,13.9545,0
7839595,1.0000,0.0005,-0.0002,0.0003,0.0089,0.0046,0.3124,0.2677,0.1417,9.3708,0.0328,-0.0114,0.0198,0.1282,0.4866,-0.6758,0.9925,0.0095,-0.0125,0.1216,0.9127,-1.5499,13.9554,0
7839929,1.0000,0.0004,-0.0002,0.0003,0.0084,0.0044,0.3104,0.2526,0.1345,9.3130,0.0235,-0.0098,0.0201,0.1321,0.4827,-0.6738,0.9925,0.0095,-0.0125,0.1216,0.9061,-1.5494,13.9568,0
7840262,1.0000,0.0005,-0.0002,0.0003,0.0090,0.0056,0.3109,0.2718,0.1720,9.3268,0.0295,-0.0106,0.0187,0.1326,0.4836,-0.6748,0.9925,0.0095,-0.0125,0.1216,0.9110,-1.5503,13.9570,0
7840595,1.0000,0.0004,-0.0002,0.0003,0.0090,0.0044,0.3118,0.2714,0.1369,9.3531,0.0249,-0.0101,0.0194,0.1311,0.4861,-0.6768,0.9925,0.0095,-0.0125,0.1216,0.9070,-1.5503,13.9576,0
7840929,1.0000,0.0005,-0.0002,0.0003,0.0091,0.0042,0.3102,0.2745,0.1299,9.3052,0.0287,-0.0096,0.0188,0.1296,0.4822,-0.6777,0.9925,0.0095,-0.0125,0.1216,0.9102,-1.5494,13.9564,0
7841262,1.0000,0.0004,-0.0002,0.0003,0.0082,0.0049,0.3112,0.2462,0.1509,9.3349,0.0262,-0.0092,0.0188,0.1331,0.4832,-0.6748,0.9925,0.0095,-0.0124,0.1216,0.9088,-1.5477,13.9578,0
7841595,1.0000,0.0005,-0.0002,0.0003,0.0085,0.0053,0.3101,0.2556,0.1617,9.3022,0.0273,-0.0115,0.0189,0.1323,0.4802,-0.6802,0.9925,0.0095,-0.0125,0.1216,0.9094,-1.5505,13.9593,0
7841929,1.0000,0.0004,-0.0002,0.0003,0.0091,0.0046,0.3119,0.2758,0.1430,9.3568,0.0260,-0.0109,0.0200,0.1289,0.4851,-0.6797,0.9925,0.0095,-0.0125,0.1216,0.9074,-1.5520,13.9606,0
7842262,1.0000,0.0005,-0.0002,0.0003,0.0092,0.0043,0.3108,0.2786,0.1332,9.3251,0.0277,-0.0095,0.0190,0.1289,0.4841,-0.6802,0.9925,0.0095,-0.0125,0.1216,0.9087,-1.5510,13.9600,0
7842595,1.0000,0.0005,-0.0001,0.0003,0.0084,0.0052,0.3107,0.2521,0.1592,9.3224,0.0285,-0.0080,0.0196,0.1313,0.4871,-0.6787,0.9925,0.0095,-0.0124,0.1216,0.9116,-1.5470,13.9615,0
7842929,1.0000,0.0005,-0.0002,0.0003,0.0086,0.0051,0.3111,0.2594,0.1572,9.3335,0.0275,-0.0105,0.0195,0.1309,0.4832,-0.6807,0.9925,0.0095,-0.0124,0.1216,0.9126,-1.5478,13.9620,0
