DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:36:27.637,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
5397536,1.0000,-0.0002,-0.0004,0.0007,0.0100,-0.0008,0.3173,0.3025,-0.0260,9.5198,-0.0117,-0.0215,0.0434,0.0840,0.3245,-0.9048,0.9872,0.0014,-0.0155,0.1586,-0.1190,-1.7782,18.2536,0
5397869,1.0000,-0.0002,-0.0004,0.0007,0.0097,-0.0009,0.3171,0.2958,-0.0284,9.5128,-0.0113,-0.0231,0.0434,0.0845,0.3215,-0.9062,0.9872,0.0014,-0.0155,0.1585,-0.1202,-1.7803,18.2493,0
5398202,1.0000,-0.0002,-0.0003,0.0007,0.0096,-0.0005,0.3173,0.2899,-0.0177,9.5189,-0.0112,-0.0206,0.0439,0.0835,0.3210,-0.9072,0.9872,0.0014,-0.0155,0.1585,-0.1221,-1.7829,18.2454,0
5398536,1.0000,-0.0002,-0.0004,0.0007,0.0097,-0.0009,0.3172,0.2958,-0.0301,9.5155,-0.0103,-0.0210,0.0433,0.0869,0.3201,-0.9048,0.9872,0.0014,-0.0155,0.1585,-0.1213,-1.7811,18.2429,0
5398869,1.0000,-0.0002,-0.0004,0.0007,0.0097,-0.0009,0.3170,0.2944,-0.0283,9.5099,-0.0111,-0.0216,0.0438,0.0859,0.3235,-0.9053,0.9872,0.0014,-0.0155,0.1585,-0.1221,-1.7804,18.2429,0
5399202,1.0000,-0.0002,-0.0004,0.0007,0.0095,-0.0008,0.3170,0.2878,-0.0256,9.5100,-0.0105,-0.0228,0.0422,0.0835,0.3225,-0.9111,0.9872,0.0014,-0.0155,0.1585,-0.1217,-1.7819,18.2382,0
5399536,1.0000,-0.0002,-0.0004,0.0007,0.0100,-0.0008,0.3167,0.3024,-0.0260,9.4999,-0.0103,-0.0231,0.0440,0.0854,0.3225,-0.9072,0.9872,0.0014,-0.0155,0.1584,-0.1210,-1.7840,18.2370,0
5399869,1.0000,-0.0002,-0.0004,0.0007,0.0100,-0.0007,0.3175,0.3026,-0.0234,9.5262,-0.0108,-0.0233,0.0437,0.0835,0.3220,-0.9062,0.9872,0.0014,-0.0156,0.1584,-0.1211,-1.7865,18.2348,0
5400202,1.0000,-0.0002,-0.0004,0.0007,0.0095,-0.0006,0.3170,0.2878,-0.0204,9.5110,-0.0101,-0.0220,0.0441,0.0845,0.3206,-0.9116,0.9872,0.0014,-0.0156,0.1584,-0.1200,-1.7866,18.2342,0
5400536,1.0000,-0.0002,-0.0004,0.0007,0.0094,-0.0009,0.3173,0.2870,-0.0290,9.5175,-0.0106,-0.0224,0.0421,0.0811,0.3215,-0.9082,0.9873,0.0014,-0.0156,0.1584,-0.1198,-1.7875,18.2269,0
5400869,1.0000,-0.0002,-0.0004,0.0007,0.0098,-0.0007,0.3165,0.2964,-0.0233,9.4951,-0.0107,-0.0219,0.0428,0.0845,0.3230,-0.9082,0.9873,0.0014,-0.0156,0.1583,-0.1198,-1.7874,18.2248,0
5401202,1.0000,-0.0002,-0.0004,0.0007,0.0097,-0.0008,0.3169,0.2937,-0.0248,9.5067,-0.0109,-0.0214,0.0433,0.0859,0.3210,-0.9048,0.9873,0.0014,-0.0156,0.1583,-0.1201,-1.7862,18.2200,0
5401536,1.0000,-0.0002,-0.0004,0.0007,0.0094,-0.0008,0.3173,0.2871,-0.0272,9.5197,-0.0107,-0.0228,0.0440,0.0850,0.3210,-0.9087,0.9873,0.0014,-0.0156,0.1583,-0.1201,-1.7878,18.2211,0
5401869,1.0000,-0.0002,-0.0004,0.0007,0.0096,-0.0006,0.3165,0.2926,-0.0186,9.4951,-0.0105,-0.0227,0.0429,0.0850,0.3230,-0.9097,0.9873,0.0014,-0.0156,0.1583,-0.1197,-1.7893,18.2182,0
5402202,1.0000,-0.0002,-0.0004,0.0007,0.0095,-0.0007,0.3169,0.2885,-0.0232,9.5074,-0.0111,-0.0217,0.0426,0.0840,0.3250,-0.9053,0.9873,0.0014,-0.0156,0.1582,-0.1204,-1.7887,18.2137,0
5402536,1.0000,-0.0002,-0.0004,0.0007,0.0103,-0.0008,0.3175,0.3114,-0.0267,9.5245,-0.0113,-0.0219,0.0427,0.0859,0.3254,-0.9097,0.9873,0.0014,-0.0156,0.1582,-0.1214,-1.7886,18.2085,0
5402869,1.0000,-0.0002,-0.0004,0.0007,0.0096,-0.0011,0.3171,0.2907,-0.0334,9.5134,-0.0108,-0.0218,0.0420,0.0864,0.3240,-0.9092,0.9873,0.0014,-0.0156,0.1582,-0.1216,-1.7883,18.2033,0
