DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:36:27.983,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
5402202,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0027,0.3252,0.2586,0.0902,9.7555,0.0534,-0.0295,0.0110,-0.3962,0.5691,-0.7302,0.9533,0.0001,-0.0130,-0.3018,0.4544,-1.4158,-35.1345,0
5402536,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0025,0.3254,0.2606,0.0851,9.7627,0.0536,-0.0322,0.0104,-0.3982,0.5662,-0.7288,0.9533,0.0000,-0.0130,-0.3018,0.4548,-1.4193,-35.1362,0
5402869,1.0000,0.0009,-0.0005,0.0002,0.0086,0.0028,0.3256,0.2618,0.0933,9.7672,0.0536,-0.0306,0.0107,-0.3958,0.5681,-0.7302,0.9533,0.0000,-0.0130,-0.3018,0.4552,-1.4197,-35.1377,0
5403202,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0028,0.3256,0.2588,0.0912,9.7674,0.0534,-0.0306,0.0108,-0.3997,0.5662,-0.7302,0.9533,0.0000,-0.0130,-0.3018,0.4552,-1.4201,-35.1388,0
5403536,1.0000,0.0009,-0.0005,0.0002,0.0086,0.0027,0.3254,0.2625,0.0902,9.7626,0.0534,-0.0292,0.0105,-0.3967,0.5662,-0.7302,0.9533,0.0001,-0.0130,-0.3018,0.4552,-1.4179,-35.1407,0
5403869,1.0000,0.0009,-0.0005,0.0002,0.0082,0.0023,0.3253,0.2508,0.0766,9.7577,0.0540,-0.0294,0.0104,-0.3962,0.5662,-0.7278,0.9533,0.0001,-0.0130,-0.3018,0.4565,-1.4161,-35.1425,0
5404202,1.0000,0.0009,-0.0005,0.0002,0.0083,0.0025,0.3250,0.2545,0.0837,9.7493,0.0533,-0.0306,0.0105,-0.3982,0.5686,-0.7288,0.9533,0.0001,-0.0130,-0.3018,0.4564,-1.4165,-35.1438,0
5404536,1.0000,0.0009,-0.0005,0.0002,0.0086,0.0026,0.3261,0.2625,0.0877,9.7825,0.0527,-0.0303,0.0108,-0.3962,0.5657,-0.7273,0.9533,0.0001,-0.0130,-0.3018,0.4551,-1.4164,-35.1449,0
5404869,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0026,0.3252,0.2599,0.0858,9.7556,0.0531,-0.0312,0.0107,-0.3987,0.5706,-0.7297,0.9533,0.0000,-0.0130,-0.3018,0.4546,-1.4180,-35.1462,0
5405202,1.0000,0.0009,-0.0005,0.0002,0.0081,0.0026,0.3257,0.2470,0.0881,9.7698,0.0535,-0.0298,0.0096,-0.3982,0.5671,-0.7273,0.9533,0.0001,-0.0130,-0.3019,0.4550,-1.4169,-35.1495,0
5405536,1.0000,0.0009,-0.0005,0.0002,0.0084,0.0028,0.3254,0.2573,0.0937,9.7632,0.0542,-0.0297,0.0110,-0.3972,0.5671,-0.7273,0.9533,0.0001,-0.0130,-0.3019,0.4566,-1.4156,-35.1501,0
5405869,1.0000,0.0009,-0.0005,0.0002,0.0088,0.0029,0.3256,0.2686,0.0956,9.7672,0.0533,-0.0299,0.0103,-0.3938,0.5691,-0.7307,0.9533,0.0001,-0.0130,-0.3019,0.4565,-1.4146,-35.1522,0
5406202,1.0000,0.0009,-0.0005,0.0002,0.0082,0.0026,0.3254,0.2507,0.0875,9.7625,0.0530,-0.0312,0.0113,-0.3953,0.5681,-0.7268,0.9533,0.0001,-0.0130,-0.3019,0.4558,-1.4163,-35.1519,0
5406536,1.0000,0.0009,-0.0005,0.0002,0.0089,0.0030,0.3256,0.2715,0.0997,9.7677,0.0531,-0.0289,0.0098,-0.3977,0.5671,-0.7312,0.9532,0.0001,-0.0130,-0.3019,0.4553,-1.4134,-35.1545,0
5406869,1.0000,0.0009,-0.0005,0.0002,0.0083,0.0033,0.3257,0.2553,0.1070,9.7706,0.0534,-0.0301,0.0118,-0.3962,0.5647,-0.7302,0.9532,0.0001,-0.0130,-0.3019,0.4552,-1.4129,-35.1538,0
5407202,1.0000,0.0009,-0.0005,0.0002,0.0083,0.0029,0.3252,0.2553,0.0960,9.7571,0.0539,-0.0309,0.0106,-0.3977,0.5647,-0.7278,0.9532,0.0001,-0.0130,-0.3019,0.4562,-1.4138,-35.1552,0
5407536,1.0000,0.0009,-0.0005,0.0002,0.0087,0.0025,0.3257,0.2643,0.0842,9.7723,0.0535,-0.0292,0.0095,-0.3972,0.5662,-0.7292,0.9532,0.0001,-0.0129,-0.3020,0.4565,-1.4115,-35.1589,0
5407869,1.0000,0.0009,-0.0005,0.0002,0.0084,0.0027,0.3257,0.2582,0.0896,9.7701,0.0536,-0.0298,0.0093,-0.4001,0.5671,-0.7297,0.9532,0.0001,-0.0129,-0.3020,0.4570,-1.4105,-35.1628,0
5408202,1.0000,0.0009,-0.0005,0.0002,0.0084,0.0026,0.3258,0.2569,0.0854,9.7753,0.0539,-0.0313,0.0109,-0.3967,0.5667,-0.7312,0.9532,0.0001,-0.0130,-0.3020,0.4580,-1.4124,-35.1637,0
5408536,1.0000,0.0009,-0.0005,0.0002,0.0084,0.0027,0.3255,0.2565,0.0884,9.7639,0.0532,-0.0309,0.0108,-0.3987,0.5667,-0.7273,0.9532,0.0001,-0.0130,-0.3020,0.4576,-1.4134,-35.1649,0
5408869,1.0000,0.0009,-0.0005,0.0001,0.0086,0.0027,0.3254,0.2615,0.0897,9.7632,0.0530,-0.0299,0.0089,-0.3967,0.5657,-0.7317,0.9532,0.0001,-0.0130,-0.3020,0.4570,-1.4124,-35.1699,0
5409202,1.0000,0.0009,-0.0005,0.0002,0.0087,0.0031,0.3254,0.2660,0.1013,9.7631,0.0529,-0.0310,0.0112,-0.3977,0.5657,-0.7292,0.9532,0.0001,-0.0130,-0.3020,0.4561,-1.4136,-35.1701,0
5409536,1.0000,0.0009,-0.0005,0.0002,0.0083,0.0026,0.3257,0.2536,0.0879,9.7706,0.0536,-0.0308,0.0103,-0.3977,0.5652,-0.7263,0.9532,0.0001,-0.0130,-0.3021,0.4566,-1.4145,-35.1725,0
5409869,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0025,0.3258,0.2601,0.0837,9.7747,0.0541,-0.0300,0.0112,-0.3982,0.5676,-0.7312,0.9532,0.0001,-0.0130,-0.3021,0.4580,-1.4138,-35.1727,0
5410203,1.0000,0.0009,-0.0005,0.0002,0.0086,0.0030,0.3256,0.2624,0.0974,9.7672,0.0530,-0.0306,0.0105,-0.3987,0.5662,-0.7312,0.9532,0.0001,-0.0130,-0.3021,0.4573,-1.4143,-35.1744,0
5410536,1.0000,0.0009,-0.0005,0.0002,0.0085,0.0026,0.3254,0.2609,0.0860,9.7627,0.0535,-0.0309,0.0103,-0.3992,0.5667,-0.7312,0.9532,0.0001,-0.0130,-0.3021,0.4577,-1.4153,-35.1767,0
5410869,1.0000,0.0009,-0.0005,0.0002,0.0082,0.0023,0.3250,0.2498,0.0764,9.7500,0.0529,-0.0301,0.0100,-0.3992,0.5676,-0.7283,0.9532,0.0001,-0.0130,-0.3021,0.4569,-1.4148,-35.1794,0
5411203,1.0000,0.0009,-0.0005,0.0002,0.0082,0.0023,0.3254,0.2507,0.0785,9.7614,0.0535,-0.0300,0.0103,-0.3972,0.5652,-0.7317,0.9532,0.0001,-0.0130,-0.3021,0.4571,-1.4141,-35.1812,0
5411536,1.0000,0.0009,-0.0005,0.0002,0.0082,0.0026,0.3252,0.2518,0.0851,9.7570,0.0526,-0.0304,0.0099,-0.3962,0.5681,-0.7278,0.9532,0.0001,-0.0130,-0.3022,0.4558,-1.4142,-35.1840,0
