DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:36:27.801,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
5399536,1.0000,0.0005,-0.0001,0.0003,0.0086,0.0049,0.3107,0.2593,0.1501,9.3201,0.0271,-0.0085,0.0196,0.1257,0.4648,-0.6763,0.9922,0.0095,-0.0125,0.1234,0.8993,-1.5592,14.1691,0
5399869,1.0000,0.0004,-0.0002,0.0003,0.0087,0.0048,0.3113,0.2637,0.1466,9.3395,0.0266,-0.0099,0.0201,0.1248,0.4624,-0.6777,0.9922,0.0095,-0.0125,0.1234,0.8985,-1.5598,14.1705,0
5400202,1.0000,0.0004,-0.0002,0.0003,0.0088,0.0048,0.3115,0.2648,0.1482,9.3457,0.0266,-0.0091,0.0193,0.1267,0.4619,-0.6797,0.9922,0.0095,-0.0125,0.1234,0.8978,-1.5588,14.1705,0
5400536,1.0000,0.0004,-0.0002,0.0003,0.0086,0.0051,0.3112,0.2594,0.1579,9.3360,0.0266,-0.0111,0.0202,0.1243,0.4619,-0.6812,0.9922,0.0094,-0.0126,0.1235,0.8969,-1.5617,14.1732,0
5400869,1.0000,0.0005,-0.0002,0.0003,0.0084,0.0049,0.3110,0.2545,0.1503,9.3293,0.0272,-0.0095,0.0191,0.1223,0.4609,-0.6816,0.9922,0.0095,-0.0126,0.1235,0.8973,-1.5615,14.1728,0
5401202,1.0000,0.0005,-0.0002,0.0003,0.0085,0.0049,0.3112,0.2555,0.1526,9.3370,0.0276,-0.0092,0.0194,0.1218,0.4604,-0.6743,0.9922,0.0095,-0.0125,0.1235,0.8985,-1.5607,14.1724,0
5401536,1.0000,0.0005,-0.0002,0.0003,0.0088,0.0047,0.3107,0.2641,0.1451,9.3213,0.0273,-0.0094,0.0198,0.1257,0.4600,-0.6748,0.9922,0.0095,-0.0125,0.1235,0.8991,-1.5603,14.1732,0
5401869,1.0000,0.0004,-0.0002,0.0003,0.0086,0.0051,0.3112,0.2580,0.1573,9.3361,0.0263,-0.0091,0.0194,0.1248,0.4634,-0.6821,0.9922,0.0095,-0.0125,0.1235,0.8976,-1.5594,14.1741,0
5402202,1.0000,0.0004,-0.0002,0.0003,0.0088,0.0049,0.3114,0.2654,0.1503,9.3429,0.0264,-0.0099,0.0196,0.1252,0.4639,-0.6748,0.9922,0.0094,-0.0125,0.1235,0.8964,-1.5600,14.1749,0
5402536,1.0000,0.0005,-0.0002,0.0003,0.0087,0.0049,0.3111,0.2632,0.1502,9.3344,0.0275,-0.0105,0.0190,0.1233,0.4634,-0.6772,0.9922,0.0095,-0.0126,0.1235,0.8975,-1.5617,14.1742,0
