DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:40:17.041,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
7836262,1.0000,-0.0002,-0.0004,0.0007,0.0106,-0.0009,0.3169,0.3208,-0.0275,9.5072,-0.0101,-0.0220,0.0429,0.0806,0.3206,-0.9062,0.9878,0.0013,-0.0156,0.1548,-0.1312,-1.7888,17.8202,0
7836595,1.0000,-0.0002,-0.0004,0.0007,0.0103,-0.0008,0.3168,0.3129,-0.0258,9.5038,-0.0098,-0.0221,0.0437,0.0811,0.3235,-0.9067,0.9878,0.0013,-0.0156,0.1548,-0.1298,-1.7891,17.8169,0
7836928,1.0000,-0.0002,-0.0004,0.0007,0.0102,-0.0009,0.3166,0.3083,-0.0294,9.4969,-0.0104,-0.0236,0.0430,0.0820,0.3230,-0.9092,0.9878,0.0013,-0.0156,0.1548,-0.1297,-1.7923,17.8122,0
7837262,1.0000,-0.0002,-0.0004,0.0007,0.0098,-0.0009,0.3173,0.2984,-0.0296,9.5176,-0.0104,-0.0218,0.0437,0.0835,0.3235,-0.9077,0.9878,0.0013,-0.0156,0.1548,-0.1295,-1.7922,17.8103,0
7837595,1.0000,-0.0002,-0.0003,0.0007,0.0104,-0.0006,0.3167,0.3166,-0.0188,9.5019,-0.0104,-0.0206,0.0420,0.0801,0.3245,-0.9082,0.9878,0.0013,-0.0156,0.1547,-0.1294,-1.7898,17.8059,0
7837928,1.0000,-0.0002,-0.0004,0.0007,0.0099,-0.0008,0.3168,0.3016,-0.0259,9.5031,-0.0099,-0.0216,0.0434,0.0811,0.3230,-0.9067,0.9878,0.0013,-0.0156,0.1547,-0.1283,-1.7892,17.8014,0
7838262,1.0000,-0.0002,-0.0003,0.0007,0.0102,-0.0007,0.3169,0.3080,-0.0216,9.5059,-0.0107,-0.0199,0.0431,0.0811,0.3225,-0.9131,0.9878,0.0013,-0.0156,0.1546,-0.1287,-1.7853,17.7968,0
7838595,1.0000,-0.0002,-0.0004,0.0007,0.0103,-0.0009,0.3170,0.3116,-0.0291,9.5089,-0.0109,-0.0218,0.0437,0.0825,0.3230,-0.9126,0.9879,0.0013,-0.0156,0.1546,-0.1294,-1.7851,17.7930,0
7838929,1.0000,-0.0002,-0.0003,0.0007,0.0092,-0.0009,0.3162,0.2781,-0.0289,9.4851,-0.0099,-0.0206,0.0435,0.0811,0.3235,-0.9087,0.9879,0.0013,-0.0155,0.1546,-0.1284,-1.7826,17.7906,0
7839262,1.0000,-0.0002,-0.0003,0.0007,0.0110,-0.0012,0.3176,0.3321,-0.0376,9.5277,-0.0114,-0.0204,0.0429,0.0864,0.3225,-0.9038,0.9879,0.0013,-0.0155,0.1546,-0.1301,-1.7798,17.7873,0
7839595,1.0000,-0.0001,-0.0004,0.0007,0.0097,-0.0010,0.3184,0.2959,-0.0324,9.5527,-0.0086,-0.0235,0.0420,0.0854,0.3206,-0.9053,0.9879,0.0013,-0.0155,0.1545,-0.1265,-1.7829,17.7848,0
