DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:14:56.289,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
1772095,1.0000,-0.0002,-0.0004,0.0008,0.0088,0.0029,0.3166,0.2661,0.0844,9.4968,-0.0116,-0.0220,0.0457,-0.2869,0.6672,-0.2483,0.9755,0.0002,-0.0145,-0.2194,0.3872,-1.6209,-25.3561,0
1772428,1.0000,-0.0002,-0.0004,0.0008,0.0083,0.0016,0.3162,0.2542,0.0447,9.4860,-0.0129,-0.0235,0.0453,-0.2864,0.6633,-0.2483,0.9755,0.0001,-0.0146,-0.2194,0.3832,-1.6257,-25.3557,0
1772762,1.0000,-0.0002,-0.0004,0.0008,0.0087,0.0015,0.3168,0.2651,0.0428,9.5024,-0.0116,-0.0226,0.0456,-0.2849,0.6658,-0.2517,0.9755,0.0001,-0.0146,-0.2194,0.3815,-1.6289,-25.3546,0
1773095,1.0000,-0.0002,-0.0003,0.0008,0.0099,0.0023,0.3178,0.2992,0.0667,9.5343,-0.0097,-0.0201,0.0454,-0.2839,0.6653,-0.2498,0.9755,0.0001,-0.0146,-0.2194,0.3836,-1.6273,-25.3536,0
1773428,1.0000,-0.0002,-0.0003,0.0008,0.0085,0.0033,0.3169,0.2595,0.0973,9.5066,-0.0112,-0.0199,0.0451,-0.2883,0.6663,-0.2488,0.9755,0.0001,-0.0146,-0.2194,0.3828,-1.6254,-25.3532,0
1773762,1.0000,-0.0002,-0.0003,0.0008,0.0080,0.0023,0.3157,0.2438,0.0658,9.4712,-0.0134,-0.0209,0.0453,-0.2859,0.6658,-0.2478,0.9755,0.0001,-0.0146,-0.2194,0.3776,-1.6254,-25.3529,0
1774095,1.0000,-0.0002,-0.0004,0.0007,0.0091,0.0015,0.3169,0.2762,0.0421,9.5058,-0.0107,-0.0229,0.0449,-0.2878,0.6648,-0.2502,0.9755,0.0001,-0.0146,-0.2194,0.3778,-1.6291,-25.3535,0
1774428,1.0000,-0.0002,-0.0003,0.0007,0.0100,0.0022,0.3180,0.3030,0.0634,9.5392,-0.0094,-0.0194,0.0445,-0.2844,0.6628,-0.2502,0.9755,0.0001,-0.0146,-0.2194,0.3805,-1.6262,-25.3561,0
1774762,1.0000,-0.0002,-0.0003,0.0008,0.0087,0.0030,0.3169,0.2652,0.0871,9.5077,-0.0102,-0.0178,0.0460,-0.2864,0.6614,-0.2522,0.9755,0.0001,-0.0145,-0.2194,0.3815,-1.6203,-25.3537,0
1775095,1.0000,-0.0002,-0.0003,0.0007,0.0076,0.0026,0.3151,0.2306,0.0773,9.4539,-0.0120,-0.0198,0.0443,-0.2869,0.6653,-0.2554,0.9755,0.0001,-0.0145,-0.2194,0.3792,-1.6182,-25.3558,0
1775428,1.0000,-0.0002,-0.0004,0.0008,0.0091,0.0015,0.3171,0.2780,0.0420,9.5136,-0.0121,-0.0241,0.0454,-0.2859,0.6638,-0.2493,0.9755,0.0001,-0.0145,-0.2194,0.3765,-1.6243,-25.3557,0
1775762,1.0000,-0.0002,-0.0004,0.0008,0.0098,0.0021,0.3173,0.2975,0.0620,9.5191,-0.0091,-0.0213,0.0456,-0.2864,0.6653,-0.2473,0.9755,0.0001,-0.0146,-0.2194,0.3797,-1.6251,-25.3555,0
1776095,1.0000,-0.0002,-0.0003,0.0007,0.0088,0.0025,0.3170,0.2681,0.0745,9.5095,-0.0109,-0.0182,0.0449,-0.2849,0.6663,-0.2488,0.9755,0.0001,-0.0145,-0.2194,0.3795,-1.6199,-25.3564,0
1776428,1.0000,-0.0002,-0.0003,0.0007,0.0083,0.0029,0.3162,0.2534,0.0838,9.4865,-0.0117,-0.0201,0.0448,-0.2878,0.6631,-0.2568,0.9755,0.0001,-0.0145,-0.2194,0.3778,-1.6183,-25.3560,0
1776762,1.0000,-0.0002,-0.0004,0.0008,0.0089,0.0022,0.3170,0.2695,0.0629,9.5113,-0.0115,-0.0226,0.0452,-0.2869,0.6653,-0.2478,0.9755,0.0001,-0.0145,-0.2194,0.3763,-1.6215,-25.3560,0
