DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-22 14:30:03.594,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
2414773,0.9998,0.0067,-0.0165,-0.0055,-0.1133,0.2936,0.0733,-3.4112,8.8054,2.1973,0.3992,-0.9923,-0.3289,0.4058,-0.1833,-0.5020,0.4034,0.4766,-0.4099,-0.6649,77.2904,17.6386,-103.3604,0
2415107,0.9998,0.0088,-0.0186,-0.0055,-0.1108,0.2831,0.0760,-3.3297,8.4943,2.2670,0.5265,-1.1168,-0.3293,0.4084,-0.1726,-0.5137,0.3876,0.4707,-0.4200,-0.6722,77.6092,17.8900,-105.6343,0
2415440,0.9998,0.0099,-0.0181,-0.0059,-0.1069,0.2845,0.0806,-3.2142,8.5403,2.3907,0.5961,-1.0879,-0.3545,0.4187,-0.1663,-0.5249,0.3710,0.4655,-0.4302,-0.6787,78.0628,18.2136,-107.8646,0
2415773,0.9998,0.0096,-0.0180,-0.0055,-0.1015,0.2905,0.0813,-3.0491,8.7204,2.4103,0.5735,-1.0781,-0.3314,0.4268,-0.1562,-0.5354,0.3547,0.4599,-0.4402,-0.6848,78.4691,18.5126,-110.0674,0
2416107,0.9998,0.0086,-0.0161,-0.0042,-0.1011,0.3015,0.0879,-3.0282,9.0536,2.6071,0.5159,-0.9663,-0.2532,0.4255,-0.1531,-0.5476,0.3405,0.4544,-0.4492,-0.6897,78.8351,18.7200,-112.0193,0
2416440,0.9999,0.0081,-0.0139,-0.0020,-0.0946,0.3074,0.0841,-2.8228,9.2374,2.4865,0.4873,-0.8346,-0.1203,0.4285,-0.1489,-0.5554,0.3289,0.4492,-0.4581,-0.6930,79.2421,18.7371,-113.6583,0
2416773,0.9999,0.0049,-0.0144,0.0022,-0.0962,0.2978,0.0881,-2.8272,8.9525,2.6401,0.2964,-0.8666,0.1305,0.4277,-0.1511,-0.5637,0.3214,0.4406,-0.4666,-0.6963,79.3000,18.2769,-115.2631,0
2417107,0.9999,0.0027,-0.0128,0.0034,-0.0977,0.2867,0.0940,-2.8673,8.6196,2.8345,0.1629,-0.7684,0.2013,0.4219,-0.1531,-0.5793,0.3163,0.4317,-0.4736,-0.6995,79.1851,17.7170,-116.6413,0
2417440,0.9999,0.0024,-0.0126,0.0016,-0.0923,0.2928,0.0900,-2.7197,8.7956,2.7154,0.1416,-0.7561,0.0979,0.4177,-0.1567,-0.5911,0.3103,0.4236,-0.4794,-0.7032,79.0361,17.3514,-118.0281,0
2417773,0.9999,0.0019,-0.0146,0.0008,-0.0925,0.2938,0.0868,-2.7301,8.8201,2.6276,0.1157,-0.8789,0.0484,0.4182,-0.1543,-0.6064,0.3029,0.4143,-0.4851,-0.7081,78.7695,17.0274,-119.6692,0
2418107,0.9999,0.0022,-0.0151,0.0019,-0.0969,0.2920,0.0934,-2.8465,8.7713,2.8264,0.1290,-0.9077,0.1153,0.4106,-0.1560,-0.6274,0.2959,0.4040,-0.4914,-0.7126,78.5311,16.5593,-121.3343,0
2418440,0.9999,0.0024,-0.0145,0.0011,-0.0895,0.2825,0.0950,-2.6355,8.4850,2.8696,0.1425,-0.8695,0.0669,0.4038,-0.1567,-0.6357,0.2885,0.3946,-0.4973,-0.7168,78.3466,16.1894,-122.9375,0
2418773,0.9999,0.0041,-0.0130,-0.0001,-0.0831,0.2855,0.0851,-2.4600,8.5742,2.5482,0.2482,-0.7771,-0.0038,0.4021,-0.1606,-0.6440,0.2802,0.3873,-0.5034,-0.7197,78.4139,15.9846,-124.3853,0
2419107,0.9999,0.0052,-0.0087,-0.0012,-0.0816,0.2901,0.0695,-2.4406,8.7106,2.0603,0.3144,-0.5221,-0.0713,0.4026,-0.1577,-0.6465,0.2729,0.3839,-0.5087,-0.7207,78.7391,16.0066,-125.3623,0
2419440,1.0000,0.0017,-0.0036,-0.0036,-0.0798,0.3124,0.0676,-2.4214,9.3670,2.0212,0.1044,-0.2167,-0.2138,0.4060,-0.1548,-0.6528,0.2677,0.3844,-0.5091,-0.7221,78.8104,16.4118,-125.7993,0
2419774,1.0000,-0.0045,0.0016,-0.0041,-0.0802,0.3361,0.0716,-2.4522,10.0642,2.1895,-0.2707,0.0940,-0.2489,0.4121,-0.1482,-0.6553,0.2672,0.3872,-0.5033,-0.7248,78.3317,16.9982,-125.6448,0
2420107,0.9999,-0.0087,0.0059,-0.0020,-0.0905,0.3424,0.0620,-2.7457,10.2497,1.9331,-0.5250,0.3557,-0.1218,0.4180,-0.1389,-0.6533,0.2720,0.3910,-0.4941,-0.7273,77.5342,17.4528,-124.9310,0
2420440,0.9999,-0.0088,0.0088,0.0004,-0.0920,0.3173,0.0709,-2.7743,9.5020,2.1861,-0.5260,0.5302,0.0236,0.4209,-0.1399,-0.6533,0.2800,0.3956,-0.4850,-0.7279,76.8609,17.7194,-123.8162,0
2420774,0.9999,-0.0098,0.0094,0.0019,-0.0824,0.2717,0.0950,-2.4846,8.1280,2.9067,-0.5905,0.5646,0.1142,0.4233,-0.1367,-0.6479,0.2898,0.3996,-0.4754,-0.7283,76.1011,17.8466,-122.5933,0
2421107,0.9999,-0.0070,0.0071,0.0012,-0.0863,0.2795,0.0826,-2.5972,8.3691,2.5183,-0.4217,0.4266,0.0708,0.4243,-0.1333,-0.6479,0.2967,0.4029,-0.4682,-0.7283,75.5770,18.0029,-121.6596,0
2421440,1.0000,-0.0019,0.0065,-0.0010,-0.0886,0.2942,0.0730,-2.6805,8.8204,2.1879,-0.1117,0.3886,-0.0619,0.4255,-0.1304,-0.6436,0.2997,0.4084,-0.4640,-0.7267,75.6060,18.3907,-120.8649,0
2421774,1.0000,-0.0009,0.0068,0.0002,-0.0879,0.3014,0.0491,-2.6448,9.0411,1.4639,-0.0531,0.4074,0.0105,0.4304,-0.1284,-0.6323,0.3032,0.4138,-0.4608,-0.7242,75.7756,18.6523,-119.9951,0
2422107,1.0000,-0.0007,0.0084,0.0010,-0.0939,0.3048,0.0465,-2.8192,9.1451,1.3770,-0.0425,0.5040,0.0629,0.4348,-0.1306,-0.6250,0.3081,0.4200,-0.4577,-0.7206,76.0398,18.8588,-118.9085,0
2422440,0.9999,-0.0008,0.0109,0.0007,-0.0929,0.2979,0.0752,-2.8063,8.9370,2.2344,-0.0496,0.6531,0.0430,0.4375,-0.1301,-0.6104,0.3138,0.4280,-0.4535,-0.7160,76.3894,19.1650,-117.5363,0
2422774,0.9999,-0.0023,0.0116,0.0016,-0.0894,0.2940,0.0931,-2.7000,8.8170,2.7830,-0.1386,0.6936,0.0937,0.4392,-0.1333,-0.5957,0.3210,0.4356,-0.4483,-0.7114,76.6108,19.3888,-116.0560,0
2423107,0.9999,-0.0026,0.0120,0.0019,-0.0985,0.2927,0.0935,-2.9713,8.7803,2.7916,-0.1559,0.7227,0.1128,0.4392,-0.1353,-0.5864,0.3288,0.4433,-0.4429,-0.7066,76.8271,19.5848,-114.5055,0
2423440,0.9999,-0.0029,0.0150,0.0022,-0.1006,0.3038,0.0801,-3.0341,9.1133,2.3840,-0.1720,0.8981,0.1338,0.4399,-0.1382,-0.5671,0.3381,0.4527,-0.4363,-0.7003,77.1391,19.8111,-112.5945,0
2423774,0.9998,-0.0041,0.0175,0.0027,-0.1059,0.3039,0.0619,-3.1855,9.1185,1.8385,-0.2468,1.0507,0.1648,0.4382,-0.1387,-0.5457,0.3494,0.4631,-0.4281,-0.6929,77.4250,20.0350,-110.3631,0
2424107,0.9998,-0.0055,0.0194,0.0019,-0.1070,0.3031,0.0663,-3.2318,9.0877,1.9755,-0.3291,1.1618,0.1131,0.4395,-0.1384,-0.5305,0.3614,0.4745,-0.4178,-0.6854,77.6355,20.3931,-107.9285,0
