DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 11:36:59.332,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
716087,1.0000,0.0009,-0.0005,0.0002,0.0052,0.0072,0.3259,0.1605,0.2241,9.7774,0.0548,-0.0303,0.0098,0.3765,0.9304,-0.9861,0.9844,0.0119,-0.0063,0.1752,0
716420,1.0000,0.0009,-0.0005,0.0002,0.0057,0.0068,0.3256,0.1766,0.2142,9.7666,0.0551,-0.0297,0.0091,0.3765,0.9329,-0.9866,0.9844,0.0119,-0.0063,0.1752,0
716753,1.0000,0.0009,-0.0005,0.0002,0.0049,0.0069,0.3259,0.1506,0.2144,9.7759,0.0546,-0.0301,0.0106,0.3782,0.9343,-0.9905,0.9844,0.0119,-0.0063,0.1752,0
717087,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0067,0.3258,0.1914,0.2088,9.7732,0.0541,-0.0308,0.0092,0.3796,0.9333,-0.9932,0.9844,0.0119,-0.0063,0.1752,0
717420,1.0000,0.0009,-0.0005,0.0001,0.0053,0.0068,0.3258,0.1633,0.2119,9.7745,0.0537,-0.0305,0.0086,0.3770,0.9319,-0.9861,0.9844,0.0119,-0.0063,0.1752,0
717753,1.0000,0.0009,-0.0005,0.0002,0.0056,0.0067,0.3262,0.1725,0.2107,9.7870,0.0552,-0.0300,0.0093,0.3816,0.9304,-0.9912,0.9844,0.0119,-0.0063,0.1752,0
718087,1.0000,0.0009,-0.0005,0.0002,0.0057,0.0066,0.3256,0.1751,0.2063,9.7675,0.0547,-0.0300,0.0099,0.3840,0.9343,-0.9902,0.9844,0.0119,-0.0063,0.1752,0
718420,1.0000,0.0009,-0.0005,0.0002,0.0047,0.0069,0.3250,0.1473,0.2169,9.7507,0.0548,-0.0302,0.0095,0.3816,0.9333,-0.9875,0.9844,0.0117,-0.0064,0.1754,0
718753,1.0000,0.0009,-0.0005,0.0002,0.0057,0.0073,0.3260,0.1751,0.2265,9.7789,0.0548,-0.0302,0.0106,0.3821,0.9343,-0.9897,0.9844,0.0117,-0.0064,0.1754,0
719087,1.0000,0.0009,-0.0005,0.0002,0.0055,0.0071,0.3259,0.1696,0.2232,9.7768,0.0543,-0.0291,0.0103,0.3796,0.9314,-0.9880,0.9844,0.0117,-0.0064,0.1754,0
719420,1.0000,0.0009,-0.0005,0.0002,0.0052,0.0064,0.3251,0.1597,0.2007,9.7520,0.0550,-0.0304,0.0099,0.3796,0.9338,-0.9875,0.9844,0.0117,-0.0064,0.1754,0
719753,1.0000,0.0009,-0.0005,0.0002,0.0056,0.0066,0.3259,0.1741,0.2074,9.7780,0.0546,-0.0287,0.0101,0.3782,0.9314,-0.9890,0.9844,0.0117,-0.0064,0.1754,0
720087,1.0000,0.0009,-0.0005,0.0002,0.0054,0.0070,0.3253,0.1674,0.2188,9.7600,0.0551,-0.0305,0.0096,0.3796,0.9319,-0.9895,0.9844,0.0117,-0.0064,0.1754,0
720420,1.0000,0.0009,-0.0005,0.0002,0.0059,0.0071,0.3256,0.1816,0.2220,9.7683,0.0543,-0.0302,0.0105,0.3806,0.9319,-0.9900,0.9844,0.0117,-0.0064,0.1754,0
720753,1.0000,0.0009,-0.0005,0.0002,0.0058,0.0069,0.3259,0.1781,0.2170,9.7763,0.0542,-0.0306,0.0095,0.3779,0.9338,-0.9861,0.9844,0.0117,-0.0064,0.1754,0
721087,1.0000,0.0009,-0.0005,0.0002,0.0054,0.0066,0.3257,0.1661,0.2079,9.7705,0.0541,-0.0299,0.0095,0.3774,0.9314,-0.9836,0.9844,0.0117,-0.0064,0.1754,0
721420,1.0000,0.0009,-0.0005,0.0002,0.0052,0.0067,0.3252,0.1612,0.2104,9.7556,0.0549,-0.0302,0.0092,0.3806,0.9343,-0.9890,0.9844,0.0117,-0.0064,0.1754,0
721753,1.0000,0.0009,-0.0005,0.0002,0.0052,0.0068,0.3257,0.1617,0.2145,9.7717,0.0554,-0.0296,0.0097,0.3782,0.9348,-0.9866,0.9844,0.0117,-0.0064,0.1754,0
722087,1.0000,0.0009,-0.0005,0.0002,0.0056,0.0068,0.3259,0.1732,0.2123,9.7753,0.0553,-0.0300,0.0101,0.3779,0.9338,-0.9851,0.9844,0.0117,-0.0064,0.1754,0
722420,1.0000,0.0009,-0.0005,0.0002,0.0055,0.0066,0.3261,0.1686,0.2065,9.7830,0.0540,-0.0298,0.0099,0.3794,0.9314,-0.9856,0.9844,0.0117,-0.0064,0.1754,0
722753,1.0000,0.0009,-0.0005,0.0002,0.0055,0.0066,0.3267,0.1700,0.2076,9.7993,0.0547,-0.0309,0.0098,0.3796,0.9333,-0.9875,0.9844,0.0117,-0.0064,0.1754,0
723087,1.0000,0.0009,-0.0005,0.0002,0.0058,0.0066,0.3255,0.1795,0.2083,9.7649,0.0545,-0.0288,0.0093,0.3767,0.9338,-0.9905,0.9844,0.0117,-0.0064,0.1754,0
723420,1.0000,0.0009,-0.0005,0.0002,0.0051,0.0066,0.3248,0.1594,0.2051,9.7441,0.0533,-0.0312,0.0103,0.3767,0.9319,-0.9895,0.9844,0.0117,-0.0064,0.1754,0
723753,1.0000,0.0009,-0.0005,0.0001,0.0059,0.0068,0.3262,0.1823,0.2136,9.7855,0.0553,-0.0308,0.0085,0.3796,0.9338,-0.9890,0.9844,0.0117,-0.0064,0.1753,0
724087,1.0000,0.0009,-0.0005,0.0002,0.0053,0.0066,0.3253,0.1629,0.2079,9.7590,0.0550,-0.0287,0.0098,0.3792,0.9304,-0.9905,0.9844,0.0117,-0.0064,0.1753,0
724420,1.0000,0.0009,-0.0005,0.0001,0.0052,0.0070,0.3245,0.1596,0.2179,9.7351,0.0545,-0.0305,0.0089,0.3796,0.9324,-0.9880,0.9844,0.0117,-0.0064,0.1753,0
