DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-03 09:55:34.518,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
4258829,1.0000,-0.0001,-0.0002,0.0004,-0.0002,-0.0015,0.1584,-nan,-nan,-nan,-inf,-inf,inf,-0.8223,0.8770,-2.1899,0.9191,-0.0040,0.0021,-0.3941,-0.5212,0.0419,-46.4184,0
4259162,1.0000,-0.0002,-0.0004,0.0008,-0.0005,-0.0031,0.3170,-0.0126,-0.0945,9.5095,-0.0145,-0.0213,0.0454,-0.8203,0.8730,-2.1970,0.9193,-0.0044,0.0020,-0.3935,-0.5565,0.0154,-46.3396,0
4259495,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0029,0.3169,-0.0108,-0.0883,9.5077,-0.0157,-0.0195,0.0462,-0.8179,0.8784,-2.1936,0.9195,-0.0048,0.0019,-0.3929,-0.5904,-0.0111,-46.2767,0
4259829,1.0000,-0.0003,-0.0003,0.0008,0.0000,-0.0031,0.3170,0.0037,-0.0947,9.5108,-0.0156,-0.0210,0.0453,-0.8198,0.8789,-2.1951,0.9198,-0.0051,0.0018,-0.3923,-0.6166,-0.0432,-46.1924,0
4260162,1.0000,-0.0003,-0.0004,0.0008,-0.0008,-0.0033,0.3171,-0.0213,-0.1020,9.5127,-0.0151,-0.0214,0.0463,-0.8176,0.8740,-2.2034,0.9201,-0.0054,0.0016,-0.3917,-0.6431,-0.0771,-46.1161,0
4260495,1.0000,-0.0003,-0.0003,0.0008,-0.0004,-0.0029,0.3166,-0.0074,-0.0890,9.4989,-0.0150,-0.0207,0.0452,-0.8132,0.8779,-2.2112,0.9203,-0.0057,0.0014,-0.3911,-0.6681,-0.1037,-46.0453,0
4260829,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0028,0.3167,-0.0123,-0.0864,9.4999,-0.0158,-0.0210,0.0459,-0.8137,0.8760,-2.2097,0.9206,-0.0060,0.0013,-0.3904,-0.6920,-0.1310,-45.9606,0
4261162,1.0000,-0.0003,-0.0003,0.0007,-0.0000,-0.0030,0.3169,0.0024,-0.0909,9.5067,-0.0150,-0.0202,0.0443,-0.8118,0.8677,-2.2229,0.9209,-0.0063,0.0012,-0.3898,-0.7133,-0.1569,-45.8881,0
4261495,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0033,0.3164,-0.0121,-0.1027,9.4930,-0.0152,-0.0203,0.0454,-0.8118,0.8726,-2.2151,0.9211,-0.0065,0.0010,-0.3893,-0.7348,-0.1840,-45.8178,0
4261829,1.0000,-0.0003,-0.0003,0.0008,-0.0002,-0.0034,0.3162,-0.0026,-0.1052,9.4847,-0.0156,-0.0207,0.0461,-0.8147,0.8740,-2.2058,0.9213,-0.0068,0.0009,-0.3887,-0.7582,-0.2118,-45.7470,0
4262162,1.0000,-0.0003,-0.0003,0.0008,-0.0002,-0.0026,0.3169,-0.0042,-0.0795,9.5082,-0.0154,-0.0209,0.0462,-0.8093,0.8672,-2.2126,0.9216,-0.0071,0.0007,-0.3882,-0.7813,-0.2403,-45.6800,0
4262495,1.0000,-0.0003,-0.0003,0.0008,-0.0004,-0.0023,0.3173,-0.0079,-0.0724,9.5180,-0.0159,-0.0207,0.0451,-0.8127,0.8687,-2.2117,0.9218,-0.0074,0.0006,-0.3876,-0.8039,-0.2687,-45.6156,0
4262829,1.0000,-0.0002,-0.0003,0.0008,-0.0003,-0.0029,0.3163,-0.0044,-0.0907,9.4881,-0.0145,-0.0203,0.0455,-0.8152,0.8706,-2.2117,0.9220,-0.0076,0.0004,-0.3871,-0.8229,-0.2959,-45.5486,0
4263162,1.0000,-0.0003,-0.0003,0.0008,0.0001,-0.0030,0.3169,0.0049,-0.0933,9.5073,-0.0152,-0.0204,0.0452,-0.8113,0.8638,-2.2161,0.9222,-0.0079,0.0002,-0.3866,-0.8434,-0.3234,-45.4855,0
4263495,1.0000,-0.0002,-0.0003,0.0008,-0.0001,-0.0031,0.3169,0.0001,-0.0942,9.5060,-0.0149,-0.0187,0.0462,-0.8113,0.8711,-2.2087,0.9224,-0.0081,0.0001,-0.3861,-0.8636,-0.3481,-45.4219,0
4263829,1.0000,-0.0003,-0.0004,0.0008,-0.0002,-0.0031,0.3167,-0.0024,-0.0946,9.5024,-0.0154,-0.0211,0.0461,-0.8142,0.8735,-2.2107,0.9227,-0.0084,-0.0001,-0.3855,-0.8849,-0.3774,-45.3541,0
4264162,1.0000,-0.0003,-0.0003,0.0008,-0.0001,-0.0026,0.3170,-0.0008,-0.0806,9.5113,-0.0151,-0.0205,0.0464,-0.8147,0.8677,-2.2117,0.9229,-0.0087,-0.0002,-0.3850,-0.9056,-0.4053,-45.2881,0
4264496,1.0000,-0.0002,-0.0004,0.0008,-0.0001,-0.0029,0.3168,-0.0010,-0.0896,9.5054,-0.0142,-0.0210,0.0454,-0.8147,0.8730,-2.2087,0.9231,-0.0089,-0.0004,-0.3845,-0.9244,-0.4342,-45.2251,0
4264829,1.0000,-0.0003,-0.0003,0.0008,-0.0002,-0.0032,0.3169,-0.0020,-0.0986,9.5067,-0.0150,-0.0203,0.0455,-0.8162,0.8716,-2.2117,0.9233,-0.0092,-0.0006,-0.3840,-0.9449,-0.4617,-45.1591,0
4265162,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0031,0.3169,-0.0110,-0.0947,9.5070,-0.0155,-0.0206,0.0457,-0.8127,0.8672,-2.2146,0.9235,-0.0094,-0.0007,-0.3835,-0.9665,-0.4894,-45.0945,0
4265496,1.0000,-0.0003,-0.0004,0.0008,-0.0005,-0.0031,0.3169,-0.0106,-0.0953,9.5080,-0.0155,-0.0222,0.0453,-0.8113,0.8704,-2.2068,0.9237,-0.0097,-0.0009,-0.3830,-0.9883,-0.5200,-45.0312,0
4265829,1.0000,-0.0003,-0.0003,0.0008,-0.0002,-0.0029,0.3175,-0.0042,-0.0894,9.5250,-0.0155,-0.0207,0.0452,-0.8162,0.8730,-2.2097,0.9239,-0.0100,-0.0010,-0.3824,-1.0098,-0.5474,-44.9661,0
