DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 11:07:08.403,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
394023,1.0000,-0.0001,-0.0002,0.0004,0.0024,-0.0008,0.1585,-nan,-nan,-nan,-inf,-inf,inf,0.1021,0.7019,-1.3684,0.9979,-0.0034,-0.0074,0.0639,0
394356,1.0000,-0.0002,-0.0003,0.0008,0.0045,-0.0018,0.3158,0.1368,-0.0548,9.4727,-0.0116,-0.0198,0.0461,0.1030,0.7009,-1.3669,0.9979,-0.0030,-0.0078,0.0647,0
394689,1.0000,-0.0002,-0.0004,0.0008,0.0041,-0.0022,0.3164,0.1257,-0.0687,9.4932,-0.0118,-0.0232,0.0454,0.1045,0.7019,-1.3699,0.9978,-0.0030,-0.0081,0.0657,0
395023,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0018,0.3167,0.1343,-0.0555,9.5009,-0.0104,-0.0227,0.0453,0.1016,0.7014,-1.3684,0.9977,-0.0031,-0.0084,0.0667,0
395356,1.0000,-0.0002,-0.0004,0.0007,0.0042,-0.0011,0.3160,0.1300,-0.0360,9.4798,-0.0103,-0.0223,0.0449,0.1021,0.7014,-1.3713,0.9977,-0.0032,-0.0086,0.0674,0
395689,1.0000,-0.0002,-0.0004,0.0007,0.0043,-0.0020,0.3165,0.1321,-0.0629,9.4961,-0.0109,-0.0212,0.0449,0.1040,0.7029,-1.3694,0.9976,-0.0032,-0.0089,0.0681,0
396023,1.0000,-0.0002,-0.0004,0.0008,0.0048,-0.0025,0.3168,0.1475,-0.0759,9.5051,-0.0114,-0.0218,0.0462,0.1021,0.7034,-1.3723,0.9976,-0.0033,-0.0091,0.0689,0
396356,1.0000,-0.0002,-0.0004,0.0008,0.0041,-0.0021,0.3162,0.1278,-0.0647,9.4850,-0.0113,-0.0216,0.0454,0.1030,0.7039,-1.3689,0.9975,-0.0035,-0.0094,0.0695,0
396689,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0015,0.3167,0.1432,-0.0457,9.4996,-0.0111,-0.0217,0.0453,0.1040,0.7039,-1.3694,0.9975,-0.0036,-0.0096,0.0702,0
397023,1.0000,-0.0002,-0.0003,0.0008,0.0043,-0.0018,0.3160,0.1330,-0.0569,9.4808,-0.0110,-0.0206,0.0462,0.1025,0.7014,-1.3694,0.9974,-0.0037,-0.0099,0.0710,0
