DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 11:34:51.148,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
517358,1.0000,0.0009,-0.0005,0.0001,0.0065,0.0068,0.3255,0.2010,0.2121,9.7660,0.0553,-0.0303,0.0086,0.3767,0.9270,-0.9934,0.9842,0.0120,-0.0079,0.1764,0
517691,1.0000,0.0009,-0.0005,0.0002,0.0067,0.0071,0.3255,0.2045,0.2213,9.7658,0.0535,-0.0298,0.0099,0.3772,0.9255,-0.9919,0.9842,0.0120,-0.0079,0.1764,0
518025,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0070,0.3257,0.1913,0.2177,9.7713,0.0539,-0.0299,0.0099,0.3777,0.9285,-0.9905,0.9842,0.0119,-0.0079,0.1764,0
518358,1.0000,0.0009,-0.0005,0.0002,0.0066,0.0069,0.3256,0.2034,0.2151,9.7680,0.0537,-0.0302,0.0097,0.3787,0.9290,-0.9956,0.9842,0.0119,-0.0079,0.1764,0
518691,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0067,0.3258,0.1897,0.2099,9.7752,0.0547,-0.0284,0.0095,0.3757,0.9268,-0.9939,0.9842,0.0119,-0.0079,0.1764,0
519025,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0073,0.3254,0.1934,0.2289,9.7630,0.0544,-0.0304,0.0090,0.3787,0.9290,-0.9910,0.9842,0.0119,-0.0079,0.1764,0
519358,1.0000,0.0009,-0.0005,0.0002,0.0065,0.0068,0.3256,0.1987,0.2138,9.7690,0.0537,-0.0299,0.0098,0.3762,0.9290,-0.9939,0.9842,0.0119,-0.0079,0.1764,0
519691,1.0000,0.0009,-0.0005,0.0002,0.0067,0.0065,0.3257,0.2072,0.2042,9.7700,0.0541,-0.0294,0.0098,0.3787,0.9280,-0.9951,0.9842,0.0119,-0.0078,0.1764,0
520025,1.0000,0.0009,-0.0005,0.0002,0.0064,0.0068,0.3254,0.1973,0.2124,9.7607,0.0545,-0.0301,0.0091,0.3757,0.9275,-0.9934,0.9842,0.0119,-0.0078,0.1764,0
520358,1.0000,0.0009,-0.0005,0.0002,0.0065,0.0071,0.3257,0.1990,0.2223,9.7706,0.0545,-0.0301,0.0098,0.3748,0.9292,-0.9944,0.9842,0.0119,-0.0078,0.1764,0
520691,1.0000,0.0009,-0.0005,0.0002,0.0066,0.0066,0.3257,0.2016,0.2078,9.7698,0.0541,-0.0297,0.0096,0.3787,0.9270,-0.9919,0.9842,0.0119,-0.0078,0.1764,0
521025,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0064,0.3249,0.1943,0.2019,9.7480,0.0546,-0.0315,0.0094,0.3806,0.9294,-0.9951,0.9842,0.0119,-0.0079,0.1764,0
521358,1.0000,0.0009,-0.0005,0.0002,0.0067,0.0068,0.3258,0.2064,0.2136,9.7748,0.0548,-0.0298,0.0094,0.3777,0.9309,-0.9929,0.9842,0.0119,-0.0079,0.1763,0
521691,1.0000,0.0009,-0.0005,0.0001,0.0065,0.0067,0.3257,0.2011,0.2097,9.7702,0.0546,-0.0305,0.0081,0.3767,0.9275,-0.9905,0.9842,0.0119,-0.0079,0.1763,0
522025,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0065,0.3254,0.1921,0.2029,9.7625,0.0538,-0.0301,0.0092,0.3762,0.9275,-0.9905,0.9842,0.0119,-0.0079,0.1763,0
522358,1.0000,0.0009,-0.0005,0.0002,0.0067,0.0069,0.3258,0.2071,0.2171,9.7729,0.0553,-0.0301,0.0096,0.3762,0.9270,-0.9924,0.9842,0.0119,-0.0079,0.1763,0
522691,1.0000,0.0009,-0.0005,0.0002,0.0060,0.0071,0.3250,0.1856,0.2229,9.7496,0.0540,-0.0301,0.0103,0.3767,0.9294,-0.9951,0.9842,0.0119,-0.0079,0.1763,0
523025,1.0000,0.0009,-0.0005,0.0002,0.0064,0.0069,0.3256,0.1972,0.2164,9.7680,0.0540,-0.0315,0.0096,0.3792,0.9304,-0.9910,0.9842,0.0119,-0.0079,0.1763,0
523358,1.0000,0.0009,-0.0005,0.0002,0.0068,0.0068,0.3262,0.2092,0.2122,9.7847,0.0551,-0.0299,0.0096,0.3748,0.9282,-0.9910,0.9842,0.0119,-0.0079,0.1763,0
523691,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0068,0.3256,0.1915,0.2116,9.7681,0.0540,-0.0295,0.0101,0.3752,0.9297,-0.9939,0.9842,0.0119,-0.0079,0.1763,0
524025,1.0000,0.0009,-0.0005,0.0002,0.0064,0.0064,0.3257,0.1969,0.1999,9.7704,0.0544,-0.0301,0.0101,0.3772,0.9275,-0.9924,0.9842,0.0119,-0.0079,0.1763,0
524358,1.0000,0.0009,-0.0005,0.0002,0.0068,0.0065,0.3260,0.2086,0.2041,9.7783,0.0550,-0.0297,0.0095,0.3772,0.9319,-0.9919,0.9842,0.0119,-0.0079,0.1763,0
524691,1.0000,0.0009,-0.0005,0.0002,0.0065,0.0072,0.3260,0.1983,0.2235,9.7810,0.0547,-0.0291,0.0099,0.3811,0.9309,-0.9966,0.9842,0.0119,-0.0079,0.1763,0
525025,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0070,0.3251,0.1903,0.2178,9.7514,0.0543,-0.0307,0.0098,0.3777,0.9275,-0.9961,0.9842,0.0119,-0.0079,0.1763,0
525358,1.0000,0.0009,-0.0005,0.0001,0.0068,0.0070,0.3259,0.2086,0.2179,9.7769,0.0538,-0.0307,0.0086,0.3796,0.9275,-0.9932,0.9842,0.0119,-0.0079,0.1763,0
525691,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0066,0.3259,0.1939,0.2067,9.7779,0.0543,-0.0284,0.0091,0.3792,0.9285,-0.9932,0.9842,0.0119,-0.0079,0.1763,0
526025,1.0000,0.0009,-0.0005,0.0001,0.0062,0.0065,0.3250,0.1908,0.2036,9.7501,0.0538,-0.0305,0.0087,0.3772,0.9290,-0.9915,0.9842,0.0119,-0.0079,0.1763,0
526358,1.0000,0.0009,-0.0005,0.0002,0.0065,0.0063,0.3259,0.1996,0.1965,9.7755,0.0546,-0.0303,0.0091,0.3762,0.9285,-0.9919,0.9842,0.0119,-0.0079,0.1763,0
526691,1.0000,0.0009,-0.0005,0.0002,0.0064,0.0065,0.3257,0.1976,0.2033,9.7693,0.0552,-0.0294,0.0090,0.3767,0.9246,-0.9929,0.9842,0.0119,-0.0079,0.1763,0
527025,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0070,0.3257,0.1918,0.2189,9.7717,0.0550,-0.0298,0.0093,0.3796,0.9275,-0.9946,0.9842,0.0119,-0.0079,0.1763,0
527358,1.0000,0.0009,-0.0005,0.0002,0.0068,0.0066,0.3256,0.2103,0.2083,9.7672,0.0545,-0.0299,0.0095,0.3772,0.9319,-0.9929,0.9842,0.0119,-0.0078,0.1763,0
527691,1.0000,0.0009,-0.0005,0.0002,0.0062,0.0063,0.3253,0.1916,0.1973,9.7585,0.0547,-0.0301,0.0094,0.3792,0.9304,-0.9927,0.9842,0.0119,-0.0078,0.1762,0
528025,1.0000,0.0009,-0.0005,0.0001,0.0066,0.0070,0.3256,0.2021,0.2184,9.7691,0.0543,-0.0298,0.0081,0.3762,0.9290,-0.9924,0.9842,0.0119,-0.0078,0.1762,0
528358,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0067,0.3257,0.1950,0.2083,9.7718,0.0538,-0.0292,0.0108,0.3772,0.9280,-0.9905,0.9842,0.0119,-0.0078,0.1762,0
528692,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0066,0.3253,0.1931,0.2063,9.7602,0.0548,-0.0291,0.0104,0.3757,0.9299,-0.9939,0.9842,0.0119,-0.0078,0.1762,0
529025,1.0000,0.0009,-0.0005,0.0002,0.0064,0.0066,0.3251,0.1976,0.2067,9.7528,0.0547,-0.0304,0.0097,0.3811,0.9280,-0.9937,0.9842,0.0119,-0.0078,0.1762,0
529358,1.0000,0.0009,-0.0005,0.0002,0.0066,0.0067,0.3260,0.2035,0.2112,9.7810,0.0542,-0.0307,0.0103,0.3787,0.9304,-0.9961,0.9842,0.0119,-0.0078,0.1763,0
529692,1.0000,0.0009,-0.0005,0.0002,0.0065,0.0066,0.3256,0.1991,0.2079,9.7674,0.0545,-0.0297,0.0092,0.3767,0.9265,-0.9915,0.9842,0.0119,-0.0078,0.1762,0
530025,1.0000,0.0009,-0.0005,0.0002,0.0063,0.0063,0.3253,0.1943,0.1966,9.7599,0.0550,-0.0296,0.0104,0.3762,0.9253,-0.9958,0.9842,0.0119,-0.0078,0.1763,0
530358,1.0000,0.0009,-0.0005,0.0002,0.0071,0.0065,0.3251,0.2176,0.2032,9.7525,0.0547,-0.0300,0.0096,0.3772,0.9270,-0.9929,0.9842,0.0119,-0.0078,0.1763,0
530692,1.0000,0.0009,-0.0005,0.0002,0.0067,0.0066,0.3264,0.2061,0.2058,9.7914,0.0536,-0.0301,0.0097,0.3748,0.9268,-0.9910,0.9842,0.0119,-0.0078,0.1763,0
531025,1.0000,0.0009,-0.0005,0.0002,0.0066,0.0067,0.3256,0.2042,0.2102,9.7682,0.0539,-0.0296,0.0095,0.3801,0.9304,-0.9927,0.9842,0.0119,-0.0078,0.1763,0
