DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 20,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-07-28 15:42:08.699,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
11435868,1.0000,0.0007,-0.0002,0.0005,0.0069,0.0048,0.4654,0.1411,0.1031,9.3085,0.0298,-0.0094,0.0182,0.2920,0.5706,-0.9395,0.9763,0.0086,-0.0060,0.2161,0
11436368,1.0000,0.0007,-0.0003,0.0005,0.0080,0.0049,0.4652,0.1625,0.1043,9.3037,0.0298,-0.0102,0.0183,0.2935,0.5715,-0.9385,0.9761,0.0088,-0.0064,0.2170,0
11436868,1.0000,0.0008,-0.0002,0.0004,0.0067,0.0052,0.4643,0.1358,0.1101,9.2867,0.0300,-0.0100,0.0180,0.2920,0.5710,-0.9448,0.9759,0.0093,-0.0066,0.2178,0
11437368,1.0000,0.0007,-0.0002,0.0004,0.0074,0.0044,0.4657,0.1506,0.0950,9.3135,0.0296,-0.0089,0.0179,0.2949,0.5696,-0.9419,0.9758,0.0098,-0.0067,0.2182,0
11437868,1.0000,0.0007,-0.0003,0.0005,0.0073,0.0049,0.4645,0.1489,0.1058,9.2892,0.0299,-0.0100,0.0191,0.2920,0.5691,-0.9463,0.9757,0.0103,-0.0068,0.2188,0
11438368,1.0000,0.0008,-0.0002,0.0005,0.0066,0.0049,0.4644,0.1339,0.1042,9.2880,0.0301,-0.0095,0.0181,0.2920,0.5730,-0.9395,0.9756,0.0108,-0.0068,0.2193,0
11438868,1.0000,0.0008,-0.0002,0.0005,0.0074,0.0050,0.4649,0.1500,0.1065,9.2982,0.0302,-0.0095,0.0182,0.2949,0.5715,-0.9443,0.9756,0.0114,-0.0069,0.2193,0
11439368,1.0000,0.0007,-0.0002,0.0005,0.0069,0.0055,0.4648,0.1406,0.1164,9.2969,0.0295,-0.0100,0.0182,0.2910,0.5706,-0.9399,0.9755,0.0119,-0.0069,0.2196,0
11439868,1.0000,0.0007,-0.0002,0.0005,0.0073,0.0045,0.4649,0.1473,0.0977,9.2977,0.0300,-0.0092,0.0185,0.2896,0.5681,-0.9429,0.9755,0.0125,-0.0070,0.2197,0
11440368,1.0000,0.0007,-0.0002,0.0005,0.0073,0.0055,0.4652,0.1485,0.1167,9.3035,0.0297,-0.0099,0.0183,0.2910,0.5715,-0.9365,0.9754,0.0130,-0.0070,0.2199,0
