DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-11 10:43:16.381,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
5361595,1,0000,-0,0002,-0,0003,0,0037,-0,0050,-0,0028,0,3165,-0,1485,-0,0858,9,4948,-0,0121,-0,0199,0,2242,-0,1914,0,7639,-1,3538,0,9897,0,0018,-0,0117,-0,1425,0
5361929,1,0000,-0,0002,-0,0004,0,0008,0,0035,0,0037,0,3171,0,1082,0,1079,9,5128,-0,0130,-0,0223,0,0451,-0,1904,0,7615,-1,3567,0,9899,0,0015,-0,0119,-0,1414,0
5362262,1,0000,-0,0002,-0,0003,0,0008,0,0036,0,0043,0,3170,0,1105,0,1260,9,5114,-0,0099,-0,0209,0,0479,-0,1885,0,7625,-1,3562,0,9900,0,0014,-0,0121,-0,1402,0
5362595,0,9999,-0,0002,-0,0001,0,0145,0,0133,0,0122,0,3164,0,4049,0,3588,9,4923,-0,0103,-0,0078,0,8728,-0,1855,0,7605,-1,3572,0,9920,0,0011,-0,0122,-0,1254,0
5362929,0,9998,-0,0008,-0,0005,0,0199,-0,0014,0,0014,0,3184,-0,0360,0,0350,9,5515,-0,0456,-0,0293,1,1916,-0,1714,0,7563,-1,3533,0,9943,0,0001,-0,0125,-0,1056,0
5363262,0,9999,-0,0029,-0,0026,0,0156,0,0043,0,0024,0,3154,0,1532,0,0423,9,4610,-0,1761,-0,1547,0,9353,-0,1682,0,7549,-1,3579,0,9958,-0,0032,-0,0147,-0,0904,0
5363595,0,9999,0,0025,0,0021,0,0151,0,0057,-0,0013,0,3139,0,1520,-0,0166,9,4173,0,1518,0,1241,0,9071,-0,1572,0,7468,-1,3555,0,9971,-0,0006,-0,0127,-0,0756,0
5363929,0,9999,-0,0033,-0,0020,0,0098,-0,0022,0,0063,0,3234,-0,0454,0,1559,9,7032,-0,1999,-0,1213,0,5893,-0,1543,0,7449,-1,3501,0,9977,-0,0041,-0,0143,-0,0662,0
5364262,1,0000,-0,0013,0,0004,0,0044,0,0032,-0,0065,0,3109,0,0899,-0,2084,9,3263,-0,0777,0,0258,0,2644,-0,1523,0,7449,-1,3501,0,9980,-0,0054,-0,0137,-0,0621,0
5364595,1,0000,-0,0002,0,0000,0,0006,0,0041,0,0008,0,3182,0,1214,0,0220,9,5466,-0,0115,0,0012,0,0383,-0,1514,0,7483,-1,3550,0,9980,-0,0055,-0,0135,-0,0618,0
5364929,1,0000,-0,0002,-0,0004,0,0007,0,0040,-0,0002,0,3160,0,1228,-0,0084,9,4794,-0,0099,-0,0216,0,0448,-0,1489,0,7456,-1,3486,0,9980,-0,0057,-0,0138,-0,0613,0
5365262,1,0000,-0,0002,-0,0004,0,0007,0,0040,0,0002,0,3168,0,1249,0,0039,9,5025,-0,0107,-0,0221,0,0449,-0,1543,0,7488,-1,3467,0,9980,-0,0058,-0,0140,-0,0609,0
5365595,1,0000,-0,0002,-0,0004,0,0008,0,0042,-0,0000,0,3166,0,1286,-0,0028,9,4974,-0,0099,-0,0220,0,0454,-0,1523,0,7468,-1,3545,0,9981,-0,0059,-0,0142,-0,0604,0
5365929,1,0000,-0,0004,-0,0006,-0,0001,-0,0051,-0,0032,0,3176,-0,1480,-0,0994,9,5295,-0,0247,-0,0384,-0,0072,-0,1494,0,7476,-1,3555,0,9980,-0,0063,-0,0147,-0,0608,0
5366262,0,9997,-0,0007,0,0008,-0,0233,0,0052,0,0170,0,3161,0,1375,0,5078,9,4833,-0,0445,0,0451,-1,3998,-0,1636,0,7561,-1,3499,0,9963,-0,0066,-0,0139,-0,0844,0
5366595,1,0000,-0,0002,-0,0016,-0,0052,0,0140,-0,0144,0,3157,0,4376,-0,4324,9,4704,-0,0129,-0,0959,-0,3103,-0,1709,0,7593,-1,3557,0,9958,-0,0068,-0,0154,-0,0899,0
5366929,1,0000,-0,0004,-0,0002,0,0067,0,0182,-0,0008,0,3168,0,5491,-0,0304,9,5043,-0,0256,-0,0114,0,4036,-0,1660,0,7571,-1,3523,0,9964,-0,0072,-0,0154,-0,0835,0
5367262,0,9998,0,0002,0,0002,0,0212,0,0114,-0,0046,0,3160,0,3361,-0,1429,9,4788,0,0095,0,0109,1,2713,-0,1538,0,7507,-1,3521,0,9979,-0,0073,-0,0149,-0,0627,0
5367595,0,9999,0,0021,0,0002,0,0144,-0,0165,-0,0039,0,3159,-0,4998,-0,0897,9,4758,0,1256,0,0137,0,8658,-0,1396,0,7417,-1,3496,0,9987,-0,0054,-0,0146,-0,0486,0
5367929,1,0000,0,0017,0,0006,0,0028,-0,0023,0,0043,0,3172,-0,0744,0,1466,9,5158,0,1040,0,0347,0,1678,-0,1431,0,7373,-1,3496,0,9988,-0,0036,-0,0140,-0,0460,0
5368262,1,0000,-0,0008,0,0006,0,0052,0,0019,0,0036,0,3178,0,0516,0,1005,9,5344,-0,0503,0,0375,0,3145,-0,1348,0,7368,-1,3521,0,9991,-0,0044,-0,0131,-0,0411,0
5368595,1,0000,-0,0002,0,0009,0,0098,0,0013,0,0031,0,3174,0,0317,0,0906,9,5214,-0,0143,0,0519,0,5909,-0,1328,0,7349,-1,3496,0,9994,-0,0046,-0,0121,-0,0314,0
5368929,0,9999,-0,0002,0,0007,0,0118,-0,0043,0,0011,0,3170,-0,1352,0,0324,9,5099,-0,0110,0,0449,0,7101,-0,1240,0,7327,-1,3525,0,9997,-0,0048,-0,0111,-0,0196,0
5369262,1,0000,-0,0019,0,0023,0,0083,-0,0128,-0,0176,0,3170,-0,4102,-0,5438,9,5092,-0,1130,0,1354,0,4980,-0,1172,0,7292,-1,3506,0,9999,-0,0066,-0,0086,-0,0113,0
5369595,1,0000,-0,0030,0,0029,0,0049,-0,0031,-0,0179,0,3210,-0,1243,-0,5641,9,6281,-0,1798,0,1712,0,2935,-0,1143,0,7354,-1,3525,0,9999,-0,0096,-0,0055,-0,0065,0
5369929,0,9998,-0,0107,0,0049,0,0137,-0,0021,0,0001,0,3282,-0,1104,-0,1019,9,8465,-0,6413,0,2927,0,8248,-0,0967,0,7468,-1,3462,0,9998,-0,0202,-0,0002,0,0071,0
5370262,0,9996,-0,0261,0,0072,0,0106,-0,0075,0,0046,0,3419,-0,2981,-0,1286,10,2554,-1,5672,0,4299,0,6354,-0,0867,0,7822,-1,3335,0,9987,-0,0463,0,0072,0,0175,0
5370595,0,9991,-0,0374,0,0188,0,0071,-0,0085,-0,0140,0,3179,-0,4396,-0,7730,9,5102,-2,2418,1,1305,0,4254,-0,0540,0,8403,-1,3093,0,9959,-0,0838,0,0259,0,0240,0
5370929,0,9994,-0,0291,0,0170,-0,0011,-0,0238,-0,0404,0,2963,-0,8650,-1,4706,8,8385,-1,7443,1,0228,-0,0634,-0,0300,0,8872,-1,2859,0,9924,-0,1130,0,0423,0,0223,0
5371262,0,9996,-0,0239,0,0144,0,0010,-0,0379,-0,0745,0,3162,-1,2752,-2,4596,9,4125,-1,4327,0,8669,0,0590,-0,0115,0,9241,-1,2571,0,9887,-0,1368,0,0564,0,0226,0
5371595,0,9994,-0,0338,0,0122,0,0027,-0,0389,-0,0876,0,3040,-1,2849,-2,9321,9,0127,-2,0256,0,7326,0,1593,0,0051,0,9685,-1,2288,0,9827,-0,1702,0,0682,0,0255,0
