DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 13:10:32.207,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
2072120,1.0000,-0.0001,-0.0002,0.0004,0.0024,-0.0002,0.1583,-nan,-nan,-nan,-inf,-inf,inf,0.2424,1.4561,-1.2837,0.9977,-0.0006,-0.0079,0.0671,0
2072453,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0004,0.3168,0.1457,-0.0150,9.5034,-0.0145,-0.0235,0.0483,0.2434,1.4556,-1.2856,0.9977,-0.0008,-0.0082,0.0678,0
2072786,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0004,0.3164,0.1433,-0.0146,9.4909,-0.0135,-0.0223,0.0481,0.2424,1.4561,-1.2842,0.9976,-0.0009,-0.0085,0.0684,0
2073120,1.0000,-0.0002,-0.0004,0.0008,0.0049,0.0000,0.3165,0.1505,-0.0022,9.4959,-0.0137,-0.0226,0.0471,0.2437,1.4580,-1.2852,0.9976,-0.0009,-0.0087,0.0691,0
2073453,1.0000,-0.0002,-0.0004,0.0008,0.0045,-0.0003,0.3163,0.1386,-0.0108,9.4876,-0.0144,-0.0214,0.0476,0.2424,1.4551,-1.2847,0.9975,-0.0010,-0.0090,0.0697,0
2073786,1.0000,-0.0002,-0.0004,0.0008,0.0049,-0.0004,0.3163,0.1520,-0.0132,9.4897,-0.0131,-0.0227,0.0482,0.2439,1.4590,-1.2827,0.9975,-0.0011,-0.0093,0.0703,0
2074120,1.0000,-0.0002,-0.0003,0.0008,0.0048,-0.0005,0.3165,0.1459,-0.0163,9.4947,-0.0147,-0.0199,0.0483,0.2427,1.4561,-1.2888,0.9974,-0.0013,-0.0095,0.0709,0
2074453,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0005,0.3161,0.1443,-0.0188,9.4819,-0.0147,-0.0222,0.0485,0.2412,1.4573,-1.2881,0.9974,-0.0014,-0.0098,0.0715,0
2074786,1.0000,-0.0002,-0.0003,0.0008,0.0046,-0.0004,0.3162,0.1411,-0.0155,9.4851,-0.0135,-0.0205,0.0483,0.2429,1.4546,-1.2832,0.9973,-0.0016,-0.0100,0.0721,0
2075120,1.0000,-0.0002,-0.0004,0.0008,0.0046,-0.0005,0.3166,0.1409,-0.0182,9.4969,-0.0138,-0.0212,0.0484,0.2437,1.4570,-1.2869,0.9973,-0.0017,-0.0103,0.0727,0
2075453,1.0000,-0.0002,-0.0004,0.0008,0.0046,-0.0003,0.3161,0.1413,-0.0113,9.4836,-0.0149,-0.0213,0.0484,0.2410,1.4570,-1.2837,0.9972,-0.0019,-0.0106,0.0734,0
2075786,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0000,0.3163,0.1453,-0.0027,9.4887,-0.0131,-0.0226,0.0479,0.2454,1.4561,-1.2817,0.9972,-0.0020,-0.0108,0.0739,0
2076120,1.0000,-0.0002,-0.0004,0.0008,0.0050,-0.0003,0.3168,0.1533,-0.0119,9.5050,-0.0139,-0.0213,0.0490,0.2471,1.4585,-1.2844,0.9972,-0.0022,-0.0111,0.0746,0
2076453,1.0000,-0.0002,-0.0004,0.0008,0.0048,-0.0004,0.3169,0.1460,-0.0139,9.5078,-0.0138,-0.0220,0.0481,0.2419,1.4570,-1.2827,0.9971,-0.0023,-0.0114,0.0752,0
2076787,1.0000,-0.0002,-0.0003,0.0008,0.0050,-0.0003,0.3165,0.1528,-0.0116,9.4954,-0.0138,-0.0210,0.0482,0.2424,1.4541,-1.2847,0.9971,-0.0025,-0.0116,0.0757,0
2077120,1.0000,-0.0002,-0.0003,0.0008,0.0050,-0.0005,0.3162,0.1537,-0.0164,9.4857,-0.0137,-0.0205,0.0487,0.2427,1.4590,-1.2861,0.9970,-0.0026,-0.0119,0.0763,0
2077453,1.0000,-0.0002,-0.0004,0.0008,0.0048,-0.0003,0.3166,0.1466,-0.0111,9.4982,-0.0139,-0.0219,0.0481,0.2402,1.4539,-1.2881,0.9970,-0.0028,-0.0121,0.0769,0
2077787,1.0000,-0.0002,-0.0004,0.0008,0.0050,-0.0001,0.3162,0.1523,-0.0055,9.4858,-0.0136,-0.0218,0.0483,0.2410,1.4561,-1.2847,0.9969,-0.0029,-0.0124,0.0775,0
2078120,1.0000,-0.0002,-0.0004,0.0008,0.0049,-0.0001,0.3167,0.1507,-0.0054,9.5014,-0.0139,-0.0213,0.0484,0.2434,1.4565,-1.2842,0.9969,-0.0030,-0.0127,0.0781,0
2078453,1.0000,-0.0002,-0.0004,0.0008,0.0047,-0.0000,0.3162,0.1452,-0.0035,9.4869,-0.0136,-0.0219,0.0480,0.2427,1.4585,-1.2866,0.9968,-0.0032,-0.0129,0.0786,0
2078787,1.0000,-0.0002,-0.0004,0.0008,0.0045,-0.0001,0.3162,0.1375,-0.0042,9.4871,-0.0132,-0.0216,0.0480,0.2432,1.4561,-1.2866,0.9968,-0.0033,-0.0132,0.0792,0
2079120,1.0000,-0.0002,-0.0004,0.0008,0.0045,-0.0001,0.3160,0.1400,-0.0043,9.4811,-0.0130,-0.0224,0.0490,0.2437,1.4565,-1.2878,0.9967,-0.0034,-0.0135,0.0798,0
2079453,1.0000,-0.0002,-0.0004,0.0008,0.0049,-0.0002,0.3161,0.1507,-0.0090,9.4832,-0.0143,-0.0222,0.0482,0.2402,1.4573,-1.2866,0.9967,-0.0036,-0.0138,0.0804,0
2079787,1.0000,-0.0002,-0.0003,0.0008,0.0050,-0.0002,0.3169,0.1544,-0.0097,9.5084,-0.0138,-0.0208,0.0478,0.2458,1.4536,-1.2856,0.9966,-0.0037,-0.0140,0.0809,0
2080120,1.0000,-0.0002,-0.0004,0.0008,0.0052,0.0000,0.3164,0.1609,-0.0018,9.4929,-0.0137,-0.0214,0.0472,0.2454,1.4570,-1.2837,0.9966,-0.0039,-0.0143,0.0815,0
