DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 10:50:43.845,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
1707857,1.0000,-0.0001,-0.0002,0.0004,0.0029,-0.0010,0.1578,-nan,-nan,-nan,-inf,-inf,inf,0.1262,0.6545,-1.2722,0.9956,-0.0027,-0.0098,0.0936,0
1708190,1.0000,-0.0002,-0.0003,0.0008,0.0058,-0.0025,0.3161,0.1775,-0.0785,9.4836,-0.0119,-0.0204,0.0481,0.1277,0.6528,-1.2712,0.9955,-0.0028,-0.0101,0.0942,0
1708524,1.0000,-0.0002,-0.0004,0.0008,0.0057,-0.0021,0.3154,0.1758,-0.0653,9.4624,-0.0109,-0.0216,0.0473,0.1257,0.6541,-1.2766,0.9954,-0.0031,-0.0104,0.0948,0
1708857,1.0000,-0.0002,-0.0004,0.0008,0.0061,-0.0025,0.3156,0.1861,-0.0757,9.4691,-0.0119,-0.0214,0.0488,0.1262,0.6536,-1.2756,0.9954,-0.0032,-0.0107,0.0954,0
1709190,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0023,0.3161,0.1795,-0.0696,9.4818,-0.0121,-0.0211,0.0480,0.1267,0.6531,-1.2766,0.9953,-0.0034,-0.0110,0.0961,0
1709524,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0023,0.3163,0.1776,-0.0705,9.4899,-0.0125,-0.0218,0.0472,0.1277,0.6516,-1.2756,0.9952,-0.0035,-0.0113,0.0967,0
1709857,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0026,0.3163,0.1795,-0.0801,9.4884,-0.0122,-0.0204,0.0478,0.1277,0.6545,-1.2766,0.9952,-0.0036,-0.0115,0.0975,0
1710190,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0022,0.3160,0.1769,-0.0671,9.4806,-0.0114,-0.0211,0.0474,0.1272,0.6521,-1.2786,0.9951,-0.0038,-0.0118,0.0981,0
1710524,1.0000,-0.0002,-0.0004,0.0008,0.0062,-0.0028,0.3164,0.1892,-0.0863,9.4932,-0.0120,-0.0231,0.0481,0.1277,0.6541,-1.2781,0.9950,-0.0039,-0.0121,0.0989,0
1710857,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0023,0.3162,0.1821,-0.0713,9.4854,-0.0116,-0.0212,0.0474,0.1287,0.6511,-1.2766,0.9949,-0.0040,-0.0124,0.0996,0
1711190,1.0000,-0.0002,-0.0003,0.0008,0.0058,-0.0024,0.3158,0.1785,-0.0749,9.4729,-0.0109,-0.0209,0.0483,0.1252,0.6541,-1.2756,0.9949,-0.0042,-0.0126,0.1003,0
1711524,1.0000,-0.0002,-0.0003,0.0008,0.0060,-0.0024,0.3163,0.1829,-0.0748,9.4898,-0.0122,-0.0208,0.0478,0.1277,0.6536,-1.2766,0.9948,-0.0043,-0.0129,0.1010,0
1711857,1.0000,-0.0002,-0.0003,0.0008,0.0057,-0.0025,0.3162,0.1734,-0.0758,9.4870,-0.0120,-0.0210,0.0486,0.1277,0.6516,-1.2781,0.9947,-0.0044,-0.0132,0.1017,0
1712190,1.0000,-0.0002,-0.0003,0.0008,0.0060,-0.0021,0.3162,0.1819,-0.0662,9.4846,-0.0121,-0.0204,0.0475,0.1282,0.6528,-1.2698,0.9946,-0.0046,-0.0134,0.1024,0
1712524,1.0000,-0.0002,-0.0003,0.0008,0.0061,-0.0022,0.3164,0.1857,-0.0689,9.4914,-0.0119,-0.0207,0.0481,0.1252,0.6511,-1.2742,0.9946,-0.0047,-0.0137,0.1031,0
1712857,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0026,0.3159,0.1769,-0.0805,9.4781,-0.0107,-0.0219,0.0483,0.1277,0.6516,-1.2756,0.9945,-0.0048,-0.0139,0.1037,0
1713190,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0022,0.3162,0.1805,-0.0667,9.4863,-0.0102,-0.0214,0.0481,0.1267,0.6531,-1.2737,0.9944,-0.0049,-0.0142,0.1043,0
1713524,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0019,0.3163,0.1791,-0.0601,9.4882,-0.0114,-0.0206,0.0471,0.1272,0.6531,-1.2756,0.9944,-0.0050,-0.0145,0.1050,0
1713857,1.0000,-0.0002,-0.0003,0.0008,0.0060,-0.0021,0.3159,0.1844,-0.0644,9.4761,-0.0118,-0.0204,0.0483,0.1267,0.6536,-1.2771,0.9943,-0.0051,-0.0147,0.1056,0
1714190,1.0000,-0.0002,-0.0004,0.0008,0.0062,-0.0027,0.3162,0.1880,-0.0825,9.4864,-0.0111,-0.0223,0.0488,0.1267,0.6531,-1.2747,0.9942,-0.0052,-0.0150,0.1063,0
1714524,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0024,0.3163,0.1843,-0.0741,9.4879,-0.0115,-0.0221,0.0478,0.1257,0.6516,-1.2756,0.9941,-0.0053,-0.0153,0.1069,0
1714857,1.0000,-0.0002,-0.0004,0.0008,0.0061,-0.0022,0.3163,0.1859,-0.0682,9.4879,-0.0113,-0.0213,0.0486,0.1277,0.6541,-1.2771,0.9941,-0.0055,-0.0155,0.1074,0
1715190,1.0000,-0.0002,-0.0003,0.0008,0.0058,-0.0022,0.3161,0.1769,-0.0678,9.4844,-0.0115,-0.0203,0.0480,0.1287,0.6538,-1.2771,0.9940,-0.0056,-0.0158,0.1081,0
1715524,1.0000,-0.0002,-0.0004,0.0008,0.0057,-0.0022,0.3164,0.1746,-0.0688,9.4931,-0.0118,-0.0221,0.0482,0.1233,0.6497,-1.2727,0.9939,-0.0057,-0.0160,0.1088,0
1715857,1.0000,-0.0002,-0.0003,0.0008,0.0056,-0.0023,0.3164,0.1717,-0.0723,9.4922,-0.0114,-0.0210,0.0483,0.1262,0.6545,-1.2761,0.9939,-0.0058,-0.0163,0.1093,0
1716190,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0026,0.3160,0.1805,-0.0803,9.4810,-0.0112,-0.0203,0.0481,0.1277,0.6531,-1.2781,0.9938,-0.0059,-0.0165,0.1100,0
1716524,1.0000,-0.0002,-0.0004,0.0008,0.0061,-0.0023,0.3161,0.1858,-0.0708,9.4838,-0.0112,-0.0215,0.0475,0.1267,0.6511,-1.2717,0.9937,-0.0060,-0.0168,0.1107,0
1716857,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0023,0.3166,0.1838,-0.0704,9.4976,-0.0119,-0.0216,0.0480,0.1282,0.6516,-1.2766,0.9936,-0.0061,-0.0170,0.1112,0
1717190,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0025,0.3163,0.1795,-0.0779,9.4898,-0.0109,-0.0208,0.0483,0.1257,0.6526,-1.2737,0.9935,-0.0062,-0.0173,0.1119,0
1717524,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0027,0.3156,0.1759,-0.0821,9.4692,-0.0127,-0.0212,0.0483,0.1267,0.6548,-1.2717,0.9935,-0.0064,-0.0175,0.1125,0
1717857,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0026,0.3157,0.1785,-0.0792,9.4715,-0.0120,-0.0223,0.0483,0.1287,0.6521,-1.2776,0.9934,-0.0065,-0.0178,0.1131,0
1718190,1.0000,-0.0002,-0.0003,0.0008,0.0060,-0.0025,0.3160,0.1820,-0.0764,9.4789,-0.0125,-0.0208,0.0481,0.1252,0.6526,-1.2742,0.9933,-0.0066,-0.0180,0.1137,0
1718524,1.0000,-0.0002,-0.0004,0.0008,0.0062,-0.0024,0.3163,0.1888,-0.0748,9.4898,-0.0125,-0.0221,0.0482,0.1282,0.6523,-1.2756,0.9933,-0.0067,-0.0183,0.1141,0
1718857,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0024,0.3167,0.1807,-0.0733,9.5006,-0.0120,-0.0224,0.0482,0.1267,0.6526,-1.2747,0.9932,-0.0069,-0.0186,0.1147,0
1719190,1.0000,-0.0002,-0.0004,0.0008,0.0061,-0.0023,0.3166,0.1860,-0.0704,9.4978,-0.0121,-0.0213,0.0477,0.1248,0.6516,-1.2761,0.9931,-0.0070,-0.0188,0.1153,0
1719524,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0020,0.3166,0.1838,-0.0608,9.4981,-0.0126,-0.0213,0.0481,0.1277,0.6521,-1.2751,0.9931,-0.0071,-0.0190,0.1158,0
1719857,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0025,0.3163,0.1794,-0.0774,9.4884,-0.0111,-0.0218,0.0482,0.1262,0.6531,-1.2795,0.9930,-0.0072,-0.0193,0.1164,0
1720190,1.0000,-0.0002,-0.0004,0.0008,0.0057,-0.0028,0.3163,0.1732,-0.0866,9.4899,-0.0129,-0.0224,0.0462,0.1262,0.6545,-1.2732,0.9929,-0.0073,-0.0195,0.1168,0
1720524,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0021,0.3161,0.1842,-0.0639,9.4827,-0.0116,-0.0212,0.0480,0.1306,0.6509,-1.2756,0.9929,-0.0074,-0.0197,0.1173,0
1720857,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0022,0.3161,0.1809,-0.0692,9.4819,-0.0122,-0.0199,0.0482,0.1277,0.6514,-1.2727,0.9928,-0.0075,-0.0199,0.1178,0
1721190,1.0000,-0.0002,-0.0004,0.0008,0.0057,-0.0023,0.3160,0.1742,-0.0707,9.4812,-0.0127,-0.0217,0.0481,0.1243,0.6541,-1.2737,0.9927,-0.0077,-0.0202,0.1183,0
1721524,1.0000,-0.0002,-0.0003,0.0008,0.0057,-0.0025,0.3165,0.1727,-0.0765,9.4950,-0.0127,-0.0199,0.0483,0.1262,0.6511,-1.2732,0.9927,-0.0078,-0.0204,0.1188,0
1721857,1.0000,-0.0002,-0.0004,0.0008,0.0054,-0.0021,0.3163,0.1655,-0.0635,9.4892,-0.0115,-0.0221,0.0477,0.1238,0.6541,-1.2791,0.9926,-0.0079,-0.0206,0.1192,0
1722190,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0022,0.3165,0.1799,-0.0681,9.4938,-0.0124,-0.0224,0.0481,0.1267,0.6497,-1.2756,0.9926,-0.0080,-0.0208,0.1197,0
1722524,1.0000,-0.0002,-0.0004,0.0008,0.0065,-0.0022,0.3162,0.1970,-0.0679,9.4866,-0.0121,-0.0218,0.0489,0.1282,0.6523,-1.2747,0.9925,-0.0081,-0.0210,0.1203,0
1722857,1.0000,-0.0002,-0.0003,0.0008,0.0055,-0.0024,0.3160,0.1691,-0.0743,9.4801,-0.0116,-0.0202,0.0473,0.1277,0.6543,-1.2703,0.9924,-0.0082,-0.0212,0.1207,0
1723190,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0020,0.3158,0.1799,-0.0614,9.4728,-0.0115,-0.0219,0.0483,0.1267,0.6545,-1.2761,0.9924,-0.0082,-0.0214,0.1211,0
1723524,1.0000,-0.0002,-0.0003,0.0008,0.0063,-0.0023,0.3156,0.1920,-0.0704,9.4687,-0.0119,-0.0206,0.0488,0.1282,0.6543,-1.2766,0.9923,-0.0083,-0.0215,0.1215,0
1723857,1.0000,-0.0002,-0.0003,0.0008,0.0063,-0.0025,0.3160,0.1934,-0.0763,9.4788,-0.0129,-0.0199,0.0492,0.1272,0.6541,-1.2756,0.9922,-0.0084,-0.0217,0.1221,0
1724191,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0027,0.3156,0.1781,-0.0832,9.4683,-0.0122,-0.0215,0.0479,0.1287,0.6548,-1.2727,0.9922,-0.0085,-0.0219,0.1225,0
1724524,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0026,0.3165,0.1818,-0.0814,9.4954,-0.0113,-0.0220,0.0476,0.1272,0.6526,-1.2771,0.9921,-0.0086,-0.0221,0.1229,0
1724857,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0021,0.3160,0.1797,-0.0659,9.4786,-0.0117,-0.0207,0.0481,0.1262,0.6531,-1.2727,0.9921,-0.0087,-0.0222,0.1233,0
1725191,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0020,0.3163,0.1850,-0.0618,9.4901,-0.0121,-0.0236,0.0485,0.1301,0.6514,-1.2776,0.9920,-0.0088,-0.0224,0.1237,0
1725524,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0027,0.3164,0.1831,-0.0832,9.4922,-0.0127,-0.0233,0.0472,0.1292,0.6528,-1.2761,0.9920,-0.0088,-0.0226,0.1242,0
1725857,1.0000,-0.0002,-0.0004,0.0008,0.0060,-0.0024,0.3168,0.1827,-0.0754,9.5041,-0.0120,-0.0232,0.0479,0.1292,0.6523,-1.2776,0.9919,-0.0089,-0.0228,0.1246,0
1726191,1.0000,-0.0002,-0.0003,0.0008,0.0063,-0.0021,0.3162,0.1929,-0.0648,9.4872,-0.0120,-0.0206,0.0484,0.1277,0.6528,-1.2747,0.9918,-0.0090,-0.0229,0.1251,0
1726524,1.0000,-0.0002,-0.0003,0.0008,0.0059,-0.0022,0.3154,0.1795,-0.0676,9.4631,-0.0127,-0.0206,0.0483,0.1301,0.6567,-1.2769,0.9918,-0.0091,-0.0230,0.1255,0
1726857,1.0000,-0.0002,-0.0004,0.0008,0.0057,-0.0021,0.3160,0.1746,-0.0646,9.4805,-0.0116,-0.0213,0.0475,0.1306,0.6538,-1.2742,0.9917,-0.0091,-0.0232,0.1258,0
1727191,1.0000,-0.0002,-0.0004,0.0008,0.0058,-0.0027,0.3167,0.1759,-0.0820,9.5018,-0.0123,-0.0219,0.0490,0.1272,0.6519,-1.2722,0.9917,-0.0092,-0.0233,0.1262,0
1727524,1.0000,-0.0002,-0.0003,0.0008,0.0060,-0.0025,0.3161,0.1840,-0.0767,9.4844,-0.0123,-0.0201,0.0485,0.1248,0.6541,-1.2756,0.9916,-0.0093,-0.0234,0.1266,0
1727857,1.0000,-0.0002,-0.0004,0.0008,0.0056,-0.0025,0.3163,0.1709,-0.0764,9.4879,-0.0131,-0.0223,0.0475,0.1301,0.6562,-1.2751,0.9916,-0.0093,-0.0235,0.1269,0
1728191,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0023,0.3168,0.1803,-0.0726,9.5049,-0.0128,-0.0219,0.0481,0.1272,0.6545,-1.2747,0.9916,-0.0094,-0.0236,0.1272,0
