DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-16 11:44:59.048,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
1803429,1.0000,0.0011,-0.0005,0.0001,0.0187,-0.0404,0.3222,0.5660,-1.2002,9.6665,0.0675,-0.0286,0.0083,-0.1387,0.9150,-0.6626,0.9962,-0.0467,-0.0339,-0.0652,0
1803763,1.0000,0.0011,-0.0005,0.0002,0.0188,-0.0355,0.3253,0.5699,-1.0550,9.7601,0.0646,-0.0291,0.0094,-0.1392,0.9116,-0.6626,0.9962,-0.0466,-0.0338,-0.0653,0
1804096,1.0000,0.0004,-0.0005,0.0001,0.0183,-0.0358,0.3241,0.5546,-1.0707,9.7223,0.0265,-0.0273,0.0085,-0.1401,0.9121,-0.6646,0.9962,-0.0472,-0.0337,-0.0655,0
1804429,1.0000,0.0007,-0.0004,0.0001,0.0176,-0.0409,0.3219,0.5317,-1.2207,9.6572,0.0433,-0.0255,0.0089,-0.1401,0.9141,-0.6626,0.9962,-0.0475,-0.0335,-0.0656,0
1804763,1.0000,0.0012,-0.0004,0.0001,0.0187,-0.0383,0.3238,0.5662,-1.1365,9.7154,0.0724,-0.0257,0.0076,-0.1416,0.9153,-0.6660,0.9962,-0.0472,-0.0334,-0.0658,0
1805096,1.0000,0.0008,-0.0004,0.0002,0.0182,-0.0345,0.3247,0.5492,-1.0272,9.7420,0.0463,-0.0261,0.0097,-0.1406,0.9131,-0.6621,0.9961,-0.0475,-0.0332,-0.0659,0
1805429,1.0000,0.0007,-0.0005,0.0002,0.0185,-0.0393,0.3225,0.5597,-1.1731,9.6755,0.0393,-0.0287,0.0093,-0.1396,0.9146,-0.6636,0.9961,-0.0478,-0.0331,-0.0661,0
1805763,1.0000,0.0012,-0.0005,0.0002,0.0182,-0.0400,0.3225,0.5521,-1.1900,9.6756,0.0692,-0.0298,0.0093,-0.1396,0.9150,-0.6631,0.9961,-0.0477,-0.0330,-0.0662,0
1806096,1.0000,0.0010,-0.0005,0.0002,0.0181,-0.0339,0.3249,0.5480,-1.0072,9.7490,0.0579,-0.0289,0.0109,-0.1421,0.9143,-0.6636,0.9961,-0.0477,-0.0329,-0.0663,0
1806429,1.0000,0.0005,-0.0005,0.0002,0.0179,-0.0393,0.3221,0.5416,-1.1744,9.6629,0.0304,-0.0320,0.0110,-0.1411,0.9165,-0.6631,0.9961,-0.0482,-0.0328,-0.0664,0
1806763,1.0000,0.0012,-0.0005,0.0002,0.0180,-0.0400,0.3232,0.5447,-1.1886,9.6968,0.0723,-0.0293,0.0098,-0.1392,0.9170,-0.6636,0.9961,-0.0480,-0.0327,-0.0665,0
1807096,1.0000,0.0010,-0.0005,0.0002,0.0184,-0.0340,0.3237,0.5558,-1.0100,9.7125,0.0611,-0.0287,0.0099,-0.1416,0.9143,-0.6641,0.9961,-0.0480,-0.0326,-0.0666,0
1807430,1.0000,0.0004,-0.0005,0.0002,0.0175,-0.0386,0.3229,0.5300,-1.1530,9.6881,0.0249,-0.0302,0.0103,-0.1411,0.9175,-0.6626,0.9961,-0.0486,-0.0325,-0.0667,0
1807763,1.0000,0.0012,-0.0005,0.0002,0.0183,-0.0404,0.3230,0.5525,-1.1992,9.6921,0.0722,-0.0310,0.0100,-0.1387,0.9189,-0.6631,0.9961,-0.0484,-0.0324,-0.0669,0
1808096,1.0000,0.0009,-0.0005,0.0001,0.0180,-0.0341,0.3249,0.5462,-1.0151,9.7481,0.0559,-0.0314,0.0089,-0.1387,0.9150,-0.6616,0.9961,-0.0484,-0.0324,-0.0669,0
1808430,1.0000,0.0006,-0.0005,0.0002,0.0183,-0.0388,0.3226,0.5529,-1.1590,9.6770,0.0378,-0.0320,0.0133,-0.1401,0.9160,-0.6636,0.9960,-0.0488,-0.0323,-0.0670,0
1808763,1.0000,0.0008,-0.0005,0.0002,0.0176,-0.0386,0.3241,0.5337,-1.1519,9.7238,0.0455,-0.0322,0.0127,-0.1377,0.9131,-0.6626,0.9960,-0.0490,-0.0322,-0.0671,0
