DeviceTag: Movella DOT3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-13 13:43:37.293,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
1271728,1.0000,-0.0004,-0.0001,-0.0004,0.0201,0.0402,0.3242,0.6038,1.2019,9.7267,-0.0247,-0.0064,-0.0232,0.3357,-0.2656,-0.9534,0.5766,0.0540,0.0344,0.8145,0
1272062,1.0000,-0.0010,-0.0009,0.0001,0.0196,0.0303,0.3165,0.5954,0.8998,9.4943,-0.0601,-0.0553,0.0061,0.3374,-0.2605,-0.9558,0.5773,0.0560,0.0320,0.8140,0
1272395,1.0000,-0.0010,0.0012,-0.0006,0.0236,0.0248,0.3107,0.6971,0.7343,9.3212,-0.0590,0.0704,-0.0349,0.3364,-0.2598,-0.9568,0.5786,0.0547,0.0294,0.8132,0
1272728,1.0000,0.0002,0.0004,-0.0006,0.0210,0.0255,0.3091,0.6259,0.7670,9.2740,0.0108,0.0226,-0.0356,0.3374,-0.2600,-0.9529,0.5791,0.0543,0.0272,0.8130,0
1273062,1.0000,0.0002,0.0002,-0.0006,0.0291,0.0420,0.3306,0.8705,1.2619,9.9173,0.0095,0.0099,-0.0338,0.3398,-0.2639,-0.9543,0.5793,0.0542,0.0258,0.8129,0
1273395,1.0000,-0.0014,0.0002,-0.0001,0.0228,0.0426,0.3228,0.6817,1.2646,9.6864,-0.0813,0.0131,-0.0053,0.3408,-0.2600,-0.9558,0.5789,0.0540,0.0241,0.8133,0
1273728,1.0000,-0.0012,-0.0010,0.0002,0.0215,0.0403,0.3173,0.6559,1.1985,9.5207,-0.0743,-0.0626,0.0118,0.3364,-0.2593,-0.9553,0.5783,0.0549,0.0223,0.8136,0
1274062,1.0000,-0.0017,0.0002,0.0004,0.0233,0.0328,0.3106,0.6988,0.9674,9.3205,-0.1044,0.0128,0.0241,0.3379,-0.2561,-0.9578,0.5779,0.0544,0.0210,0.8141,0
1274395,1.0000,-0.0010,0.0003,-0.0001,0.0101,0.0320,0.3064,0.3012,0.9500,9.1938,-0.0573,0.0203,-0.0065,0.3379,-0.2546,-0.9617,0.5778,0.0540,0.0205,0.8141,0
1274728,1.0000,-0.0005,-0.0003,-0.0004,0.0168,0.0338,0.3117,0.5070,1.0099,9.3521,-0.0308,-0.0164,-0.0267,0.3398,-0.2566,-0.9587,0.5783,0.0541,0.0201,0.8138,0
