DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-03 10:18:07.675,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
5759539,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0030,0.3162,-0.0109,-0.0933,9.4848,-0.0162,-0.0197,0.0456,-1.0283,1.0039,-1.9304,0.9105,-0.0051,0.0026,-0.4135,0
5759872,1.0000,-0.0003,-0.0004,0.0007,-0.0006,-0.0035,0.3173,-0.0151,-0.1088,9.5177,-0.0156,-0.0210,0.0449,-1.0293,1.0054,-1.9319,0.9107,-0.0053,0.0024,-0.4130,0
5760205,1.0000,-0.0003,-0.0003,0.0008,-0.0005,-0.0036,0.3170,-0.0133,-0.1107,9.5085,-0.0166,-0.0206,0.0451,-1.0312,1.0112,-1.9280,0.9109,-0.0056,0.0023,-0.4125,0
5760539,1.0000,-0.0003,-0.0003,0.0008,-0.0007,-0.0037,0.3173,-0.0170,-0.1143,9.5195,-0.0154,-0.0201,0.0457,-1.0332,1.0051,-1.9319,0.9112,-0.0059,0.0022,-0.4120,0
5760872,1.0000,-0.0003,-0.0004,0.0007,-0.0007,-0.0034,0.3167,-0.0174,-0.1045,9.5012,-0.0160,-0.0216,0.0444,-1.0322,1.0110,-1.9343,0.9114,-0.0062,0.0021,-0.4116,0
5761205,1.0000,-0.0003,-0.0003,0.0008,-0.0004,-0.0034,0.3170,-0.0082,-0.1040,9.5112,-0.0155,-0.0196,0.0451,-1.0347,1.0100,-1.9260,0.9116,-0.0064,0.0020,-0.4110,0
5761539,1.0000,-0.0003,-0.0003,0.0008,-0.0006,-0.0033,0.3169,-0.0160,-0.1001,9.5072,-0.0160,-0.0209,0.0451,-1.0317,1.0022,-1.9338,0.9118,-0.0067,0.0019,-0.4105,0
5761872,1.0000,-0.0003,-0.0003,0.0007,-0.0003,-0.0035,0.3169,-0.0068,-0.1065,9.5071,-0.0152,-0.0210,0.0443,-1.0293,1.0063,-1.9270,0.9120,-0.0070,0.0017,-0.4101,0
5762205,1.0000,-0.0003,-0.0003,0.0008,-0.0004,-0.0035,0.3165,-0.0081,-0.1071,9.4962,-0.0159,-0.0210,0.0461,-1.0317,1.0083,-1.9265,0.9123,-0.0073,0.0016,-0.4095,0
5762539,1.0000,-0.0003,-0.0004,0.0008,-0.0005,-0.0033,0.3170,-0.0127,-0.1015,9.5109,-0.0160,-0.0218,0.0451,-1.0278,1.0029,-1.9324,0.9125,-0.0075,0.0014,-0.4090,0
