DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 14:15:44.948,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
188808,1.0000,0.0005,-0.0002,0.0003,0.0075,0.0043,0.3111,0.2266,0.1320,9.3316,0.0292,-0.0096,0.0208,0.2129,1.0962,-0.9324,0.9967,0.0091,-0.0104,0.0801,0
189142,1.0000,0.0005,-0.0002,0.0003,0.0061,0.0045,0.3107,0.1847,0.1403,9.3222,0.0305,-0.0115,0.0205,0.2085,1.0964,-0.9309,0.9967,0.0093,-0.0108,0.0804,0
189475,1.0000,0.0005,-0.0002,0.0004,0.0068,0.0050,0.3109,0.2051,0.1538,9.3279,0.0307,-0.0128,0.0211,0.2134,1.0996,-0.9290,0.9966,0.0097,-0.0108,0.0806,0
189808,1.0000,0.0005,-0.0002,0.0003,0.0070,0.0046,0.3111,0.2125,0.1412,9.3337,0.0308,-0.0113,0.0204,0.2124,1.0947,-0.9294,0.9966,0.0101,-0.0109,0.0810,0
190142,1.0000,0.0005,-0.0002,0.0003,0.0068,0.0043,0.3112,0.2054,0.1328,9.3350,0.0302,-0.0102,0.0205,0.2124,1.0957,-0.9329,0.9966,0.0104,-0.0110,0.0812,0
190475,1.0000,0.0005,-0.0002,0.0003,0.0065,0.0048,0.3109,0.1981,0.1476,9.3279,0.0308,-0.0101,0.0206,0.2104,1.0979,-0.9294,0.9966,0.0108,-0.0111,0.0815,0
190808,1.0000,0.0005,-0.0002,0.0003,0.0069,0.0048,0.3111,0.2093,0.1487,9.3314,0.0298,-0.0114,0.0205,0.2104,1.0945,-0.9294,0.9965,0.0112,-0.0112,0.0817,0
191142,1.0000,0.0005,-0.0002,0.0003,0.0073,0.0038,0.3113,0.2204,0.1195,9.3397,0.0306,-0.0107,0.0201,0.2095,1.0979,-0.9319,0.9965,0.0115,-0.0113,0.0820,0
191475
191808
