DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 13:28:51.501,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
2709107,1.0000,-0.0001,-0.0002,0.0004,0.0018,0.0000,0.1574,-nan,-nan,-nan,-inf,-inf,inf,-0.2463,1.7861,-1.2117,0.9964,-0.0017,-0.0088,-0.0839,0
2709440,1.0000,-0.0002,-0.0004,0.0008,0.0056,0.0005,0.3185,0.1702,0.0135,9.5542,-0.0134,-0.0230,0.0483,-0.2493,1.7817,-1.2156,0.9965,-0.0014,-0.0080,-0.0835,0
2709774,1.0000,-0.0003,-0.0003,0.0008,0.0047,-0.0002,0.3157,0.1431,-0.0096,9.4722,-0.0171,-0.0185,0.0482,-0.2463,1.7842,-1.2136,0.9965,-0.0014,-0.0083,-0.0832,0
2710107,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0001,0.3156,0.1364,-0.0057,9.4694,-0.0122,-0.0257,0.0489,-0.2468,1.7832,-1.2136,0.9965,-0.0016,-0.0085,-0.0827,0
2710440,1.0000,-0.0002,-0.0003,0.0008,0.0055,0.0008,0.3177,0.1688,0.0220,9.5320,-0.0144,-0.0200,0.0481,-0.2488,1.7837,-1.2156,0.9966,-0.0017,-0.0087,-0.0822,0
2710774,1.0000,-0.0003,-0.0003,0.0008,0.0036,-0.0005,0.3153,0.1121,-0.0164,9.4579,-0.0154,-0.0192,0.0477,-0.2473,1.7817,-1.2136,0.9966,-0.0019,-0.0089,-0.0818,0
2711107,1.0000,-0.0002,-0.0004,0.0008,0.0049,-0.0006,0.3171,0.1521,-0.0199,9.5116,-0.0130,-0.0238,0.0481,-0.2488,1.7832,-1.2126,0.9966,-0.0020,-0.0092,-0.0812,0
2711440,1.0000,-0.0002,-0.0003,0.0008,0.0039,0.0004,0.3165,0.1210,0.0104,9.4959,-0.0149,-0.0202,0.0490,-0.2463,1.7827,-1.2146,0.9967,-0.0023,-0.0094,-0.0807,0
2711774,1.0000,-0.0002,-0.0004,0.0008,0.0046,0.0002,0.3161,0.1406,0.0051,9.4838,-0.0134,-0.0233,0.0498,-0.2483,1.7822,-1.2161,0.9967,-0.0024,-0.0096,-0.0801,0
2712107,1.0000,-0.0003,-0.0004,0.0008,0.0051,-0.0005,0.3178,0.1552,-0.0189,9.5334,-0.0157,-0.0220,0.0487,-0.2463,1.7803,-1.2122,0.9968,-0.0027,-0.0098,-0.0795,0
2712440,1.0000,-0.0002,-0.0003,0.0008,0.0042,-0.0005,0.3148,0.1302,-0.0164,9.4430,-0.0145,-0.0208,0.0488,-0.2478,1.7832,-1.2117,0.9968,-0.0029,-0.0101,-0.0790,0
2712774,1.0000,-0.0002,-0.0004,0.0008,0.0051,0.0006,0.3168,0.1575,0.0145,9.5042,-0.0124,-0.0226,0.0489,-0.2478,1.7852,-1.2161,0.9969,-0.0030,-0.0103,-0.0784,0
2713107,1.0000,-0.0003,-0.0003,0.0008,0.0048,0.0008,0.3167,0.1462,0.0207,9.5007,-0.0157,-0.0200,0.0484,-0.2502,1.7847,-1.2122,0.9969,-0.0032,-0.0105,-0.0779,0
2713440,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0005,0.3157,0.1359,-0.0171,9.4703,-0.0144,-0.0231,0.0484,-0.2483,1.7842,-1.2151,0.9969,-0.0034,-0.0108,-0.0773,0
