DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-29 14:07:19.799,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
1633148,1.0000,-0.0001,-0.0002,0.0003,0.0065,-0.0029,0.1583,-nan,-nan,-nan,-inf,-inf,inf,0.0471,0.9927,-1.2097,0.9993,-0.0084,-0.0214,0.0293,-1.0366,-2.4285,3.3848,0
1633481,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0055,0.3167,0.3897,-0.1687,9.5005,-0.0119,-0.0205,0.0427,0.0471,0.9966,-1.2102,0.9993,-0.0087,-0.0216,0.0296,-1.0664,-2.4451,3.4194,0
1633815,1.0000,-0.0002,-0.0004,0.0007,0.0132,-0.0054,0.3163,0.3986,-0.1653,9.4878,-0.0128,-0.0229,0.0421,0.0461,0.9956,-1.2078,0.9993,-0.0088,-0.0218,0.0301,-1.0869,-2.4691,3.4696,0
1634148,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0056,0.3159,0.3916,-0.1692,9.4778,-0.0116,-0.0213,0.0412,0.0461,0.9946,-1.2092,0.9993,-0.0089,-0.0221,0.0305,-1.1010,-2.4950,3.5186,0
1634481,1.0000,-0.0002,-0.0004,0.0007,0.0132,-0.0052,0.3158,0.3992,-0.1593,9.4743,-0.0120,-0.0222,0.0426,0.0471,0.9951,-1.2048,0.9992,-0.0090,-0.0223,0.0308,-1.1161,-2.5237,3.5584,0
1634815,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0055,0.3159,0.3840,-0.1677,9.4781,-0.0125,-0.0217,0.0420,0.0481,0.9922,-1.2102,0.9992,-0.0092,-0.0226,0.0312,-1.1329,-2.5522,3.6069,0
1635148,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0054,0.3160,0.3838,-0.1653,9.4811,-0.0133,-0.0215,0.0412,0.0481,0.9937,-1.2126,0.9992,-0.0093,-0.0228,0.0318,-1.1510,-2.5769,3.6690,0
1635481,1.0000,-0.0002,-0.0004,0.0007,0.0132,-0.0055,0.3163,0.3988,-0.1678,9.4894,-0.0124,-0.0224,0.0420,0.0471,0.9927,-1.2083,0.9992,-0.0095,-0.0230,0.0322,-1.1689,-2.6035,3.7224,0
1635815,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0053,0.3161,0.3860,-0.1618,9.4823,-0.0120,-0.0224,0.0420,0.0481,0.9983,-1.2019,0.9991,-0.0096,-0.0233,0.0328,-1.1860,-2.6316,3.7843,0
1636148,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0057,0.3157,0.3912,-0.1743,9.4714,-0.0118,-0.0216,0.0424,0.0461,0.9966,-1.2068,0.9991,-0.0097,-0.0235,0.0334,-1.2033,-2.6576,3.8523,0
1636482,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0054,0.3157,0.3887,-0.1653,9.4712,-0.0125,-0.0208,0.0424,0.0505,0.9934,-1.2034,0.9991,-0.0099,-0.0238,0.0339,-1.2224,-2.6826,3.9111,0
1636815,1.0000,-0.0002,-0.0004,0.0007,0.0133,-0.0053,0.3162,0.4034,-0.1618,9.4850,-0.0128,-0.0233,0.0422,0.0461,0.9927,-1.2063,0.9991,-0.0100,-0.0240,0.0344,-1.2421,-2.7127,3.9736,0
1637148,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0058,0.3168,0.3901,-0.1759,9.5049,-0.0133,-0.0208,0.0412,0.0461,0.9946,-1.2102,0.9990,-0.0102,-0.0243,0.0350,-1.2630,-2.7386,4.0389,0
1637482,1.0000,-0.0002,-0.0003,0.0007,0.0128,-0.0054,0.3166,0.3879,-0.1656,9.4965,-0.0126,-0.0210,0.0423,0.0457,0.9951,-1.2029,0.9990,-0.0103,-0.0245,0.0355,-1.2828,-2.7649,4.0970,0
1637815,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0056,0.3160,0.3844,-0.1716,9.4788,-0.0124,-0.0230,0.0432,0.0452,0.9956,-1.2063,0.9990,-0.0105,-0.0248,0.0360,-1.3025,-2.7949,4.1568,0
1638148,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0057,0.3160,0.3832,-0.1723,9.4786,-0.0128,-0.0226,0.0424,0.0491,0.9971,-1.2058,0.9990,-0.0106,-0.0250,0.0365,-1.3230,-2.8237,4.2137,0
1638482,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0057,0.3161,0.3919,-0.1742,9.4842,-0.0124,-0.0221,0.0430,0.0466,0.9956,-1.2058,0.9989,-0.0108,-0.0253,0.0370,-1.3430,-2.8515,4.2759,0
1638815,1.0000,-0.0002,-0.0004,0.0007,0.0124,-0.0056,0.3166,0.3762,-0.1714,9.4970,-0.0131,-0.0223,0.0413,0.0452,0.9956,-1.2087,0.9989,-0.0109,-0.0256,0.0375,-1.3643,-2.8798,4.3371,0
1639148,1.0000,-0.0002,-0.0004,0.0007,0.0125,-0.0055,0.3166,0.3790,-0.1681,9.4968,-0.0125,-0.0213,0.0426,0.0520,0.9929,-1.2087,0.9989,-0.0111,-0.0258,0.0380,-1.3845,-2.9058,4.3916,0
1639482,1.0000,-0.0002,-0.0004,0.0007,0.0131,-0.0054,0.3159,0.3979,-0.1655,9.4775,-0.0130,-0.0222,0.0424,0.0486,0.9961,-1.2097,0.9989,-0.0113,-0.0261,0.0386,-1.4055,-2.9334,4.4596,0
1639815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0054,0.3160,0.3939,-0.1630,9.4797,-0.0130,-0.0220,0.0427,0.0461,0.9956,-1.2078,0.9988,-0.0114,-0.0263,0.0391,-1.4265,-2.9608,4.5205,0
1640148,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0055,0.3165,0.3806,-0.1667,9.4939,-0.0125,-0.0213,0.0422,0.0471,0.9956,-1.2107,0.9988,-0.0116,-0.0265,0.0395,-1.4464,-2.9867,4.5724,0
1640482,1.0000,-0.0002,-0.0004,0.0007,0.0132,-0.0056,0.3165,0.3988,-0.1688,9.4938,-0.0128,-0.0221,0.0418,0.0486,0.9927,-1.2107,0.9988,-0.0117,-0.0268,0.0400,-1.4668,-3.0142,4.6307,0
1640815,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0052,0.3164,0.3813,-0.1575,9.4931,-0.0129,-0.0220,0.0425,0.0461,0.9956,-1.2053,0.9987,-0.0119,-0.0270,0.0406,-1.4873,-3.0415,4.6947,0
1641148,1.0000,-0.0002,-0.0003,0.0007,0.0126,-0.0052,0.3165,0.3821,-0.1587,9.4934,-0.0125,-0.0210,0.0427,0.0461,0.9966,-1.2058,0.9987,-0.0120,-0.0273,0.0411,-1.5069,-3.0664,4.7479,0
1641482,1.0000,-0.0002,-0.0004,0.0007,0.0132,-0.0058,0.3165,0.3991,-0.1774,9.4954,-0.0132,-0.0214,0.0421,0.0471,0.9971,-1.2097,0.9987,-0.0122,-0.0275,0.0416,-1.5277,-3.0921,4.8066,0
1641815,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0053,0.3162,0.3889,-0.1621,9.4855,-0.0125,-0.0224,0.0418,0.0466,0.9951,-1.2063,0.9987,-0.0123,-0.0278,0.0420,-1.5470,-3.1196,4.8641,0
1642148,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0057,0.3164,0.3886,-0.1733,9.4921,-0.0129,-0.0213,0.0412,0.0466,0.9956,-1.2078,0.9986,-0.0125,-0.0280,0.0425,-1.5671,-3.1449,4.9180,0
1642482,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0052,0.3171,0.3928,-0.1583,9.5140,-0.0123,-0.0247,0.0427,0.0466,0.9893,-1.2058,0.9986,-0.0126,-0.0283,0.0430,-1.5859,-3.1764,4.9779,0
1642815,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0055,0.3162,0.3912,-0.1687,9.4872,-0.0134,-0.0209,0.0425,0.0447,0.9941,-1.2043,0.9986,-0.0128,-0.0285,0.0435,-1.6067,-3.2005,5.0361,0
1643148,1.0000,-0.0002,-0.0003,0.0007,0.0130,-0.0057,0.3165,0.3940,-0.1736,9.4947,-0.0118,-0.0205,0.0425,0.0457,0.9976,-1.2048,0.9985,-0.0129,-0.0287,0.0440,-1.6243,-3.2236,5.0934,0
1643482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0054,0.3160,0.3901,-0.1656,9.4788,-0.0136,-0.0217,0.0427,0.0471,0.9951,-1.2039,0.9985,-0.0131,-0.0290,0.0445,-1.6452,-3.2488,5.1496,0
1643815,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0053,0.3165,0.3900,-0.1620,9.4938,-0.0129,-0.0210,0.0424,0.0447,0.9961,-1.2102,0.9985,-0.0132,-0.0292,0.0450,-1.6645,-3.2723,5.2081,0
1644148,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0056,0.3165,0.3803,-0.1694,9.4938,-0.0125,-0.0214,0.0427,0.0471,0.9932,-1.2092,0.9984,-0.0133,-0.0294,0.0455,-1.6830,-3.2963,5.2649,0
1644482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0054,0.3163,0.3906,-0.1640,9.4885,-0.0128,-0.0225,0.0424,0.0496,0.9968,-1.2043,0.9984,-0.0135,-0.0296,0.0460,-1.7017,-3.3221,5.3231,0
1644815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3163,0.3932,-0.1687,9.4901,-0.0117,-0.0215,0.0423,0.0432,0.9917,-1.2107,0.9984,-0.0136,-0.0299,0.0465,-1.7182,-3.3456,5.3809,0
1645148,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0057,0.3163,0.3838,-0.1718,9.4888,-0.0129,-0.0218,0.0426,0.0452,0.9985,-1.2043,0.9983,-0.0137,-0.0301,0.0470,-1.7367,-3.3693,5.4378,0
1645482,1.0000,-0.0002,-0.0004,0.0007,0.0133,-0.0060,0.3167,0.4015,-0.1831,9.5013,-0.0122,-0.0223,0.0426,0.0447,0.9941,-1.2078,0.9983,-0.0139,-0.0303,0.0474,-1.7539,-3.3938,5.4912,0
1645815,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0056,0.3161,0.3837,-0.1690,9.4818,-0.0127,-0.0231,0.0422,0.0481,0.9971,-1.2009,0.9983,-0.0140,-0.0305,0.0479,-1.7716,-3.4194,5.5451,0
1646148,1.0000,-0.0002,-0.0004,0.0007,0.0125,-0.0055,0.3169,0.3798,-0.1678,9.5066,-0.0126,-0.0219,0.0420,0.0447,0.9941,-1.2043,0.9983,-0.0141,-0.0308,0.0483,-1.7891,-3.4423,5.5995,0
1646482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0054,0.3165,0.3898,-0.1642,9.4944,-0.0132,-0.0220,0.0423,0.0466,0.9941,-1.2097,0.9982,-0.0143,-0.0310,0.0488,-1.8073,-3.4649,5.6549,0
1646815,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0055,0.3170,0.3846,-0.1683,9.5104,-0.0121,-0.0213,0.0421,0.0457,0.9902,-1.2048,0.9982,-0.0144,-0.0312,0.0493,-1.8230,-3.4857,5.7116,0
1647148,1.0000,-0.0002,-0.0004,0.0007,0.0133,-0.0053,0.3168,0.4036,-0.1620,9.5026,-0.0129,-0.0224,0.0429,0.0461,0.9961,-1.2131,0.9982,-0.0145,-0.0314,0.0498,-1.8402,-3.5081,5.7663,0
1647482,1.0000,-0.0002,-0.0004,0.0007,0.0125,-0.0054,0.3160,0.3798,-0.1647,9.4798,-0.0130,-0.0238,0.0419,0.0457,0.9956,-1.2058,0.9981,-0.0146,-0.0316,0.0502,-1.8571,-3.5328,5.8185,0
1647815,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0055,0.3167,0.3825,-0.1679,9.4998,-0.0117,-0.0216,0.0421,0.0398,0.9951,-1.2058,0.9981,-0.0147,-0.0318,0.0507,-1.8712,-3.5527,5.8722,0
1648148,1.0000,-0.0002,-0.0003,0.0007,0.0126,-0.0054,0.3163,0.3803,-0.1647,9.4884,-0.0132,-0.0202,0.0431,0.0457,0.9922,-1.2083,0.9981,-0.0148,-0.0319,0.0511,-1.8878,-3.5694,5.9203,0
1648482,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0053,0.3168,0.3824,-0.1624,9.5026,-0.0126,-0.0235,0.0419,0.0481,0.9956,-1.2073,0.9980,-0.0149,-0.0322,0.0516,-1.9029,-3.5917,5.9733,0
1648815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0057,0.3164,0.3924,-0.1719,9.4915,-0.0121,-0.0223,0.0417,0.0496,0.9927,-1.2043,0.9980,-0.0150,-0.0323,0.0520,-1.9166,-3.6113,6.0261,0
1649148,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0054,0.3160,0.3820,-0.1648,9.4787,-0.0124,-0.0218,0.0427,0.0471,0.9937,-1.2048,0.9980,-0.0151,-0.0325,0.0524,-1.9307,-3.6293,6.0781,0
1649482,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0056,0.3163,0.3804,-0.1698,9.4873,-0.0128,-0.0228,0.0427,0.0447,0.9951,-1.2073,0.9979,-0.0152,-0.0327,0.0529,-1.9452,-3.6487,6.1287,0
1649815,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0052,0.3167,0.3809,-0.1590,9.4995,-0.0124,-0.0215,0.0431,0.0505,0.9946,-1.2102,0.9979,-0.0153,-0.0328,0.0533,-1.9585,-3.6650,6.1798,0
1650148,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0054,0.3159,0.3839,-0.1642,9.4763,-0.0128,-0.0224,0.0419,0.0471,0.9956,-1.2097,0.9979,-0.0154,-0.0330,0.0537,-1.9720,-3.6824,6.2291,0
1650482,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0054,0.3168,0.3858,-0.1639,9.5042,-0.0125,-0.0221,0.0427,0.0481,0.9917,-1.2078,0.9979,-0.0155,-0.0332,0.0542,-1.9846,-3.6986,6.2802,0
1650815,1.0000,-0.0002,-0.0003,0.0007,0.0130,-0.0053,0.3162,0.3936,-0.1603,9.4857,-0.0124,-0.0207,0.0421,0.0476,0.9927,-1.2043,0.9978,-0.0156,-0.0333,0.0546,-1.9966,-3.7116,6.3295,0
1651148,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0056,0.3162,0.3896,-0.1708,9.4847,-0.0124,-0.0225,0.0418,0.0476,0.9980,-1.2024,0.9978,-0.0157,-0.0334,0.0550,-2.0080,-3.7274,6.3753,0
1651482,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3166,0.3930,-0.1706,9.4965,-0.0119,-0.0211,0.0429,0.0471,0.9941,-1.2034,0.9978,-0.0157,-0.0336,0.0554,-2.0183,-3.7399,6.4210,0
1651815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3164,0.3947,-0.1700,9.4905,-0.0131,-0.0219,0.0435,0.0496,0.9949,-1.2019,0.9977,-0.0158,-0.0337,0.0558,-2.0305,-3.7531,6.4690,0
1652148,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0058,0.3165,0.3925,-0.1754,9.4951,-0.0128,-0.0232,0.0430,0.0481,0.9951,-1.2102,0.9977,-0.0159,-0.0338,0.0562,-2.0417,-3.7683,6.5142,0
1652482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0056,0.3162,0.3892,-0.1693,9.4849,-0.0129,-0.0216,0.0422,0.0457,0.9951,-1.2063,0.9977,-0.0160,-0.0339,0.0566,-2.0526,-3.7799,6.5580,0
1652815,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0055,0.3163,0.3827,-0.1672,9.4894,-0.0116,-0.0211,0.0422,0.0476,0.9946,-1.2107,0.9990,-0.0079,-0.0210,0.0385,-1.0027,-2.3662,4.4353,0
1653149,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0055,0.3163,0.3895,-0.1684,9.4873,-0.0128,-0.0218,0.0420,0.0447,0.9956,-1.2063,0.9990,-0.0079,-0.0210,0.0385,-1.0033,-2.3659,4.4378,0
1653482,1.0000,-0.0002,-0.0004,0.0007,0.0131,-0.0056,0.3164,0.3975,-0.1714,9.4911,-0.0134,-0.0227,0.0421,0.0447,0.9922,-1.2039,0.9990,-0.0080,-0.0210,0.0385,-1.0051,-2.3673,4.4374,0
1653815,1.0000,-0.0002,-0.0003,0.0007,0.0128,-0.0055,0.3165,0.3858,-0.1672,9.4941,-0.0125,-0.0208,0.0416,0.0471,0.9976,-1.2087,0.9990,-0.0080,-0.0210,0.0385,-1.0052,-2.3651,4.4360,0
1654149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3158,0.3933,-0.1699,9.4731,-0.0129,-0.0218,0.0438,0.0452,0.9985,-1.2024,0.9990,-0.0080,-0.0210,0.0384,-1.0061,-2.3648,4.4219,0
1654482,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0056,0.3165,0.3881,-0.1704,9.4941,-0.0131,-0.0225,0.0428,0.0481,0.9951,-1.2078,0.9990,-0.0080,-0.0210,0.0383,-1.0074,-2.3659,4.4084,0
1654815,1.0000,-0.0002,-0.0003,0.0007,0.0125,-0.0053,0.3166,0.3777,-0.1615,9.4968,-0.0128,-0.0206,0.0413,0.0466,0.9990,-1.2083,0.9990,-0.0080,-0.0209,0.0381,-1.0079,-2.3634,4.3934,0
1655149,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0050,0.3164,0.3893,-0.1534,9.4906,-0.0121,-0.0218,0.0416,0.0461,0.9966,-1.2068,0.9990,-0.0080,-0.0209,0.0380,-1.0071,-2.3631,4.3789,0
1655482,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0056,0.3166,0.3848,-0.1713,9.4982,-0.0132,-0.0236,0.0420,0.0461,0.9956,-1.2053,0.9990,-0.0080,-0.0210,0.0379,-1.0083,-2.3663,4.3652,0
1655815,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0053,0.3167,0.3866,-0.1604,9.5009,-0.0130,-0.0224,0.0433,0.0471,0.9941,-1.2058,0.9990,-0.0080,-0.0210,0.0378,-1.0093,-2.3670,4.3549,0
1656149,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0055,0.3160,0.3854,-0.1677,9.4788,-0.0123,-0.0215,0.0425,0.0442,0.9932,-1.2058,0.9990,-0.0080,-0.0210,0.0377,-1.0090,-2.3660,4.3434,0
1656482,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3164,0.3925,-0.1703,9.4909,-0.0123,-0.0220,0.0420,0.0461,0.9951,-1.2073,0.9990,-0.0080,-0.0210,0.0376,-1.0085,-2.3661,4.3307,0
1656815,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0058,0.3166,0.3891,-0.1771,9.4969,-0.0126,-0.0218,0.0417,0.0437,0.9976,-1.2083,0.9990,-0.0080,-0.0210,0.0375,-1.0086,-2.3658,4.3175,0
1657149,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0058,0.3156,0.3877,-0.1772,9.4682,-0.0123,-0.0212,0.0424,0.0432,0.9961,-1.2073,0.9990,-0.0080,-0.0209,0.0374,-1.0081,-2.3642,4.3052,0
1657482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0055,0.3159,0.3907,-0.1677,9.4782,-0.0124,-0.0220,0.0414,0.0427,0.9951,-1.2048,0.9991,-0.0080,-0.0209,0.0373,-1.0077,-2.3643,4.2914,0
1657815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0059,0.3159,0.3925,-0.1795,9.4760,-0.0128,-0.0227,0.0417,0.0515,0.9934,-1.2097,0.9991,-0.0080,-0.0210,0.0371,-1.0082,-2.3657,4.2781,0
1658149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0054,0.3161,0.3942,-0.1643,9.4825,-0.0123,-0.0229,0.0411,0.0476,0.9917,-1.2058,0.9991,-0.0080,-0.0210,0.0370,-1.0076,-2.3674,4.2672,0
1658482,1.0000,-0.0002,-0.0004,0.0007,0.0126,-0.0055,0.3165,0.3801,-0.1682,9.4953,-0.0125,-0.0216,0.0423,0.0442,0.9951,-1.2131,0.9991,-0.0080,-0.0210,0.0369,-1.0076,-2.3667,4.2569,0
1658815,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0056,0.3164,0.3914,-0.1708,9.4906,-0.0126,-0.0222,0.0413,0.0481,0.9956,-1.2083,0.9991,-0.0080,-0.0210,0.0368,-1.0077,-2.3671,4.2441,0
1659149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0052,0.3168,0.3928,-0.1585,9.5035,-0.0125,-0.0214,0.0422,0.0486,0.9956,-1.2102,0.9991,-0.0080,-0.0210,0.0367,-1.0076,-2.3660,4.2339,0
1659482,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0054,0.3164,0.3837,-0.1633,9.4931,-0.0129,-0.0223,0.0419,0.0457,0.9941,-1.2043,0.9991,-0.0080,-0.0210,0.0367,-1.0082,-2.3666,4.2228,0
1659815,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0054,0.3162,0.3872,-0.1646,9.4871,-0.0126,-0.0218,0.0433,0.0457,0.9932,-1.2063,0.9991,-0.0080,-0.0210,0.0366,-1.0084,-2.3661,4.2148,0
1660149,1.0000,-0.0002,-0.0003,0.0007,0.0130,-0.0055,0.3160,0.3943,-0.1670,9.4790,-0.0121,-0.0205,0.0409,0.0491,0.9951,-1.2073,0.9991,-0.0080,-0.0209,0.0365,-1.0074,-2.3633,4.2021,0
1660482,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0058,0.3165,0.3834,-0.1762,9.4937,-0.0123,-0.0235,0.0430,0.0457,0.9976,-1.2034,0.9991,-0.0080,-0.0210,0.0364,-1.0070,-2.3662,4.1949,0
1660815,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0055,0.3161,0.3885,-0.1686,9.4838,-0.0121,-0.0227,0.0425,0.0452,0.9951,-1.2068,0.9991,-0.0080,-0.0210,0.0363,-1.0062,-2.3676,4.1856,0
1661149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0053,0.3164,0.3932,-0.1612,9.4923,-0.0131,-0.0218,0.0438,0.0481,0.9932,-1.2068,0.9991,-0.0080,-0.0210,0.0363,-1.0074,-2.3671,4.1781,0
1661482,1.0000,-0.0002,-0.0004,0.0007,0.0129,-0.0055,0.3167,0.3918,-0.1683,9.5001,-0.0128,-0.0218,0.0427,0.0466,0.9937,-1.2048,0.9991,-0.0080,-0.0210,0.0362,-1.0078,-2.3667,4.1699,0
1661815,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0055,0.3162,0.3853,-0.1670,9.4866,-0.0119,-0.0218,0.0431,0.0461,0.9956,-1.2053,0.9991,-0.0080,-0.0210,0.0361,-1.0066,-2.3664,4.1625,0
1662149,1.0000,-0.0002,-0.0004,0.0007,0.0131,-0.0057,0.3163,0.3952,-0.1742,9.4891,-0.0121,-0.0229,0.0429,0.0471,0.9927,-1.2102,0.9991,-0.0080,-0.0210,0.0361,-1.0058,-2.3681,4.1549,0
1662482,1.0000,-0.0002,-0.0004,0.0007,0.0127,-0.0054,0.3165,0.3850,-0.1642,9.4955,-0.0125,-0.0223,0.0415,0.0471,0.9961,-1.2058,0.9991,-0.0080,-0.0210,0.0360,-1.0056,-2.3687,4.1456,0
1662815,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0053,0.3164,0.3862,-0.1600,9.4904,-0.0128,-0.0232,0.0430,0.0486,0.9941,-1.2048,0.9991,-0.0080,-0.0210,0.0359,-1.0062,-2.3709,4.1388,0
1663149,1.0000,-0.0002,-0.0004,0.0007,0.0128,-0.0058,0.3163,0.3879,-0.1754,9.4885,-0.0127,-0.0219,0.0426,0.0439,0.9927,-1.2029,0.9991,-0.0080,-0.0210,0.0359,-1.0064,-2.3707,4.1317,0
1663482,1.0000,-0.0002,-0.0003,0.0007,0.0131,-0.0056,0.3166,0.3953,-0.1715,9.4976,-0.0121,-0.0209,0.0414,0.0476,0.9951,-1.2063,0.9991,-0.0080,-0.0210,0.0358,-1.0054,-2.3687,4.1218,0
1663815,1.0000,-0.0002,-0.0004,0.0007,0.0133,-0.0056,0.3171,0.4032,-0.1702,9.5117,-0.0124,-0.0222,0.0427,0.0476,0.9951,-1.2102,0.9991,-0.0080,-0.0210,0.0357,-1.0052,-2.3691,4.1146,0
1664149,1.0000,-0.0002,-0.0004,0.0007,0.0131,-0.0054,0.3162,0.3971,-0.1629,9.4860,-0.0127,-0.0215,0.0411,0.0437,0.9941,-1.2073,0.9991,-0.0080,-0.0210,0.0356,-1.0054,-2.3682,4.1047,0
1664482,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0054,0.3164,0.3908,-0.1650,9.4912,-0.0127,-0.0202,0.0424,0.0476,0.9976,-1.2136,0.9991,-0.0080,-0.0209,0.0356,-1.0055,-2.3649,4.0965,0
1664815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0055,0.3166,0.3930,-0.1675,9.4986,-0.0136,-0.0219,0.0417,0.0432,0.9946,-1.2073,0.9991,-0.0080,-0.0209,0.0355,-1.0074,-2.3647,4.0880,0
1665149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0057,0.3164,0.3935,-0.1720,9.4904,-0.0122,-0.0213,0.0418,0.0452,0.9956,-1.2053,0.9991,-0.0080,-0.0209,0.0354,-1.0067,-2.3633,4.0789,0
1665482,1.0000,-0.0002,-0.0003,0.0007,0.0130,-0.0056,0.3162,0.3925,-0.1706,9.4849,-0.0129,-0.0209,0.0427,0.0461,0.9927,-1.2112,0.9991,-0.0081,-0.0209,0.0353,-1.0072,-2.3613,4.0722,0
1665815,1.0000,-0.0002,-0.0004,0.0007,0.0125,-0.0056,0.3171,0.3795,-0.1697,9.5119,-0.0125,-0.0214,0.0425,0.0466,0.9961,-1.2068,0.9991,-0.0080,-0.0209,0.0353,-1.0070,-2.3603,4.0659,0
1666149,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0056,0.3166,0.3932,-0.1696,9.4979,-0.0126,-0.0224,0.0426,0.0486,0.9937,-1.2126,0.9991,-0.0081,-0.0209,0.0352,-1.0071,-2.3612,4.0592,0
1666482,1.0000,-0.0002,-0.0003,0.0007,0.0129,-0.0054,0.3163,0.3909,-0.1633,9.4877,-0.0127,-0.0207,0.0434,0.0447,0.9961,-1.2078,0.9991,-0.0081,-0.0209,0.0352,-1.0074,-2.3587,4.0548,0
1666815,1.0000,-0.0002,-0.0004,0.0007,0.0130,-0.0057,0.3162,0.3943,-0.1719,9.4869,-0.0120,-0.0210,0.0417,0.0476,0.9961,-1.2073,0.9991,-0.0080,-0.0209,0.0351,-1.0062,-2.3570,4.0460,0
