DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 13:36:30.041,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
674477,1.0000,-0.0002,-0.0004,0.0008,0.0056,0.0002,0.3161,0.1711,0.0048,9.4843,-0.0130,-0.0233,0.0455,-0.2517,1.1970,-1.2527,0.9944,-0.0012,-0.0095,-0.1048,0
674811,1.0000,-0.0002,-0.0004,0.0008,0.0060,0.0002,0.3166,0.1827,0.0052,9.4970,-0.0130,-0.0238,0.0453,-0.2512,1.2004,-1.2532,0.9944,-0.0012,-0.0095,-0.1049,0
675144,1.0000,-0.0002,-0.0004,0.0008,0.0058,0.0001,0.3167,0.1779,0.0004,9.5011,-0.0115,-0.0219,0.0458,-0.2498,1.1975,-1.2551,0.9944,-0.0012,-0.0095,-0.1049,0
675477,1.0000,-0.0002,-0.0004,0.0008,0.0054,0.0003,0.3166,0.1646,0.0060,9.4984,-0.0123,-0.0220,0.0462,-0.2522,1.1990,-1.2542,0.9944,-0.0012,-0.0095,-0.1049,0
675811,1.0000,-0.0002,-0.0004,0.0007,0.0059,0.0003,0.3160,0.1810,0.0084,9.4796,-0.0122,-0.0217,0.0446,-0.2512,1.1956,-1.2542,0.9944,-0.0009,-0.0095,-0.1049,0
676144,1.0000,-0.0002,-0.0004,0.0008,0.0056,0.0000,0.3166,0.1712,-0.0020,9.4977,-0.0123,-0.0222,0.0453,-0.2546,1.2000,-1.2517,0.9944,-0.0009,-0.0095,-0.1049,0
676478,1.0000,-0.0002,-0.0004,0.0008,0.0058,0.0002,0.3164,0.1770,0.0027,9.4925,-0.0116,-0.0219,0.0456,-0.2512,1.1985,-1.2546,0.9944,-0.0009,-0.0094,-0.1050,0
676811,1.0000,-0.0002,-0.0004,0.0008,0.0058,0.0004,0.3164,0.1787,0.0099,9.4932,-0.0111,-0.0228,0.0455,-0.2522,1.1995,-1.2600,0.9944,-0.0009,-0.0095,-0.1050,0
677144,1.0000,-0.0002,-0.0004,0.0008,0.0056,-0.0002,0.3160,0.1731,-0.0085,9.4789,-0.0118,-0.0240,0.0454,-0.2522,1.1990,-1.2576,0.9944,-0.0009,-0.0095,-0.1051,0
677478,1.0000,-0.0002,-0.0004,0.0008,0.0058,0.0000,0.3159,0.1772,-0.0013,9.4766,-0.0119,-0.0237,0.0451,-0.2498,1.1941,-1.2551,0.9944,-0.0009,-0.0095,-0.1051,0
677811,1.0000,-0.0002,-0.0004,0.0008,0.0058,0.0000,0.3169,0.1765,-0.0011,9.5081,-0.0127,-0.0242,0.0455,-0.2549,1.1975,-1.2512,0.9944,-0.0009,-0.0095,-0.1052,0
678144,1.0000,-0.0002,-0.0004,0.0007,0.0054,-0.0001,0.3159,0.1652,-0.0037,9.4767,-0.0127,-0.0234,0.0445,-0.2515,1.1985,-1.2512,0.9944,-0.0009,-0.0095,-0.1052,0
678478,1.0000,-0.0002,-0.0004,0.0008,0.0059,0.0000,0.3163,0.1794,-0.0020,9.4887,-0.0119,-0.0223,0.0461,-0.2488,1.1965,-1.2581,0.9944,-0.0009,-0.0095,-0.1053,0
678811,1.0000,-0.0002,-0.0004,0.0008,0.0056,-0.0002,0.3163,0.1723,-0.0071,9.4885,-0.0125,-0.0236,0.0462,-0.2488,1.2009,-1.2600,0.9944,-0.0009,-0.0095,-0.1053,0
679144,1.0000,-0.0002,-0.0004,0.0008,0.0059,-0.0000,0.3166,0.1819,-0.0029,9.4982,-0.0123,-0.0238,0.0453,-0.2493,1.1980,-1.2576,0.9944,-0.0009,-0.0096,-0.1053,0
679478,1.0000,-0.0002,-0.0004,0.0008,0.0057,0.0002,0.3167,0.1734,0.0055,9.4995,-0.0116,-0.0232,0.0457,-0.2517,1.2009,-1.2551,0.9944,-0.0009,-0.0096,-0.1054,0
679811,1.0000,-0.0002,-0.0004,0.0007,0.0056,0.0003,0.3162,0.1726,0.0076,9.4858,-0.0131,-0.0251,0.0448,-0.2498,1.2000,-1.2517,0.9944,-0.0009,-0.0096,-0.1054,0
