DeviceTag: Movella DOT3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-13 13:23:55.494,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
2118421,1.0000,-0.0084,-0.0038,-0.0038,-0.0355,0.0888,0.3610,-1.0332,2.5697,10.8558,-0.5052,-0.2270,-0.2250,0.7588,0.4504,-0.8589,0.9227,0.0721,0.0680,0.3726,0
2118754,0.9997,-0.0139,-0.0178,0.0026,-0.0347,0.0581,0.2399,-0.9096,1.6464,7.2372,-0.8312,-1.0674,0.1559,0.7305,0.4451,-0.8618,0.9230,0.0732,0.0525,0.3742,0
2119088,0.9997,0.0225,-0.0012,-0.0002,-0.0084,0.0059,0.2751,-0.2411,0.3625,8.2485,1.3474,-0.0722,-0.0094,0.7209,0.4102,-0.8621,0.9213,0.0930,0.0625,0.3723,0
2119421,0.9999,0.0096,-0.0122,-0.0005,-0.0319,0.0954,0.3650,-0.8241,2.9663,10.9335,0.5738,-0.7323,-0.0280,0.7021,0.3755,-0.8577,0.9218,0.1014,0.0543,0.3701,0
2119754,0.9999,-0.0085,-0.0068,0.0017,0.0201,0.0895,0.2659,0.6627,2.6170,7.9945,-0.5108,-0.4076,0.1007,0.6887,0.3672,-0.8547,0.9224,0.0957,0.0455,0.3714,0
2120088,1.0000,-0.0070,-0.0059,0.0009,0.0127,0.0711,0.2719,0.4315,2.0739,8.1693,-0.4216,-0.3544,0.0568,0.6814,0.3650,-0.8538,0.9228,0.0934,0.0370,0.3720,0
2120421,0.9999,0.0068,-0.0074,-0.0020,0.0391,0.0745,0.2580,1.2246,2.2908,7.7145,0.4091,-0.4435,-0.1201,0.6672,0.3604,-0.8574,0.9229,0.1045,0.0319,0.3693,0
2120754,1.0000,0.0034,0.0000,0.0018,0.0348,0.1404,0.3381,1.0499,4.2436,10.1278,0.2039,0.0014,0.1053,0.6614,0.3508,-0.8594,0.9215,0.1105,0.0316,0.3709,0
2121088,0.9998,-0.0174,-0.0055,0.0032,0.0356,0.0867,0.2916,1.1233,2.4463,8.7852,-1.0413,-0.3296,0.1910,0.6523,0.3660,-0.8662,0.9219,0.1002,0.0188,0.3738,0
2121421,1.0000,-0.0029,0.0036,0.0013,0.0446,0.0691,0.2684,1.3106,2.0480,8.0639,-0.1711,0.2153,0.0798,0.6467,0.3752,-0.8608,0.9213,0.0991,0.0197,0.3755,0
2121754,1.0000,-0.0057,-0.0023,0.0005,0.0412,0.0796,0.3266,1.2591,2.3306,9.8083,-0.3427,-0.1402,0.0270,0.6353,0.3818,-0.8677,0.9215,0.0973,0.0141,0.3758,0
2122088,0.9999,-0.0166,-0.0042,0.0002,0.0513,0.0789,0.3121,1.5795,2.2125,9.3962,-0.9955,-0.2516,0.0115,0.6250,0.4004,-0.8730,0.9227,0.0857,0.0027,0.3758,0
2122421,0.9998,-0.0187,-0.0069,-0.0000,0.0538,0.0612,0.2698,1.6698,1.6841,8.1159,-1.1231,-0.4119,-0.0006,0.6116,0.4270,-0.8721,0.9240,0.0731,-0.0120,0.3752,0
2122754,1.0000,-0.0037,-0.0056,-0.0014,0.0649,0.0423,0.2486,1.9854,1.2446,7.4513,-0.2195,-0.3351,-0.0835,0.5935,0.4419,-0.8760,0.9245,0.0737,-0.0198,0.3734,0
2123088,1.0000,-0.0002,0.0041,-0.0025,0.0600,0.0584,0.3034,1.7593,1.7534,9.1111,-0.0115,0.2484,-0.1528,0.5886,0.4541,-0.8740,0.9254,0.0738,-0.0173,0.3714,0
2123421,0.9999,-0.0038,0.0157,-0.0048,0.0524,0.0629,0.4236,1.3625,1.8446,12.7376,-0.2304,0.9417,-0.2880,0.6023,0.4729,-0.8594,0.9274,0.0661,-0.0051,0.3680,0
2123754,0.9998,-0.0158,-0.0096,-0.0018,0.0080,0.0776,0.3918,0.3502,2.1420,11.7870,-0.9455,-0.5773,-0.1052,0.5933,0.4871,-0.8687,0.9288,0.0565,-0.0207,0.3656,0
2124088,0.9999,0.0028,-0.0122,-0.0026,0.0422,-0.0133,0.2674,1.3642,-0.3738,8.0068,0.1656,-0.7300,-0.1560,0.5767,0.4749,-0.8882,0.9292,0.0648,-0.0316,0.3625,0
2124421,0.9999,0.0135,-0.0022,-0.0056,0.0440,0.0275,0.3099,1.3361,0.9587,9.2838,0.8080,-0.1319,-0.3336,0.5747,0.4553,-0.8975,0.9300,0.0792,-0.0292,0.3576,0
2124754,1.0000,-0.0056,-0.0043,-0.0053,0.0286,0.0367,0.3295,0.8967,1.0511,9.8867,-0.3386,-0.2609,-0.3176,0.5645,0.4585,-0.9028,0.9321,0.0765,-0.0355,0.3522,0
2125088,0.9999,-0.0057,-0.0044,-0.0086,0.0390,0.0223,0.2584,1.1979,0.6356,7.7499,-0.3421,-0.2644,-0.5152,0.5510,0.4695,-0.9072,0.9353,0.0737,-0.0416,0.3436,0
2125421,0.9999,0.0090,0.0022,-0.0086,0.0561,0.0459,0.2993,1.6519,1.4713,8.9691,0.5374,0.1296,-0.5175,0.5530,0.4626,-0.9082,0.9375,0.0822,-0.0364,0.3360,0
2125754,0.9999,0.0083,-0.0039,-0.0041,0.0409,0.0596,0.3428,1.2586,1.8779,10.2639,0.4995,-0.2327,-0.2480,0.5413,0.4570,-0.9136,0.9380,0.0920,-0.0374,0.3321,0
2126088,1.0000,0.0056,-0.0057,-0.0016,0.0445,0.0723,0.3156,1.3867,2.2245,9.4485,0.3354,-0.3413,-0.0935,0.5330,0.4446,-0.9219,0.9377,0.0998,-0.0412,0.3303,0
2126421,1.0000,-0.0004,-0.0039,0.0002,0.0418,0.0484,0.2986,1.2893,1.4487,8.9525,-0.0242,-0.2363,0.0142,0.5256,0.4412,-0.9268,0.9374,0.1013,-0.0454,0.3301,0
2126754,1.0000,0.0032,0.0009,-0.0029,0.0494,0.0413,0.3046,1.4693,1.2724,9.1342,0.1914,0.0562,-0.1718,0.5251,0.4363,-0.9321,0.9380,0.1045,-0.0435,0.3277,0
2127088,1.0000,0.0026,-0.0033,-0.0000,0.0593,0.0572,0.3242,1.8112,1.7417,9.7147,0.1544,-0.1977,-0.0003,0.5208,0.4287,-0.9409,0.9375,0.1085,-0.0461,0.3274,0
2127421,1.0000,0.0032,-0.0039,0.0031,0.0691,0.0603,0.3178,2.1162,1.8323,9.5197,0.1935,-0.2350,0.1879,0.5159,0.4209,-0.9390,0.9359,0.1130,-0.0493,0.3301,0
2127754,1.0000,0.0060,-0.0050,0.0054,0.0306,0.0357,0.3152,0.9703,1.1238,9.4452,0.3602,-0.2986,0.3265,0.5144,0.4055,-0.9521,0.9330,0.1204,-0.0529,0.3349,0
2128088,0.9998,0.0086,-0.0172,0.0000,0.0498,0.0687,0.3272,1.6623,2.1446,9.7713,0.5144,-1.0346,0.0016,0.4880,0.3904,-0.9609,0.9308,0.1344,-0.0664,0.3333,0
2128421,0.9999,-0.0049,-0.0144,-0.0013,0.0918,0.0607,0.2572,2.8618,1.7876,7.6861,-0.2966,-0.8623,-0.0791,0.4587,0.3884,-0.9731,0.9308,0.1349,-0.0814,0.3297,0
2128754,1.0000,0.0029,-0.0027,-0.0008,0.0508,0.0742,0.3029,1.5473,2.2537,9.0759,0.1752,-0.1599,-0.0489,0.4563,0.3865,-0.9683,0.9304,0.1389,-0.0831,0.3288,0
2129088,0.9996,0.0094,-0.0258,0.0077,0.0674,0.0958,0.3308,2.2993,2.9504,9.8431,0.5637,-1.5452,0.4623,0.4216,0.3638,-0.9861,0.9240,0.1557,-0.1052,0.3331,0
2129421,0.9996,-0.0040,-0.0252,0.0107,0.1118,0.0905,0.3254,3.6294,2.6393,9.6854,-0.2372,-1.5141,0.6447,0.3845,0.3586,-0.9954,0.9180,0.1595,-0.1316,0.3385,0
2129754,0.9993,-0.0056,-0.0325,0.0158,0.1031,0.0726,0.3017,3.4209,2.0777,8.9590,-0.3384,-1.9494,0.9505,0.3357,0.3521,-1.0115,0.9086,0.1634,-0.1658,0.3468,0
2130088,0.9992,0.0044,-0.0360,0.0164,0.1318,0.0410,0.2492,4.2408,1.1966,7.3257,0.2624,-2.1630,0.9824,0.2791,0.3389,-1.0171,0.8954,0.1773,-0.1997,0.3562,0
2130421,0.9999,0.0024,-0.0135,0.0050,0.1975,0.0365,0.2170,6.0174,1.0796,6.4268,0.1435,-0.8107,0.2987,0.2495,0.3286,-1.0244,0.8904,0.1835,-0.2120,0.3587,0
2130754,1.0000,-0.0068,0.0066,0.0004,0.1745,0.0636,0.2708,5.1832,1.8494,8.1708,-0.4083,0.3950,0.0223,0.2588,0.3389,-1.0200,0.8927,0.1753,-0.2088,0.3587,0
2131088,0.9998,-0.0155,0.0106,0.0023,0.1627,0.0586,0.2773,4.7970,1.6176,8.3980,-0.9291,0.6359,0.1359,0.2781,0.3613,-1.0176,0.8966,0.1575,-0.2055,0.3593,0
2131421,0.9999,-0.0106,0.0024,0.0027,0.1455,0.0485,0.2822,4.3495,1.3543,8.4913,-0.6369,0.1445,0.1606,0.2864,0.3796,-1.0122,0.8977,0.1468,-0.2078,0.3598,0
2131755,1.0000,-0.0065,0.0029,0.0003,0.1541,0.0448,0.2727,4.5986,1.2893,8.2043,-0.3921,0.1746,0.0205,0.2893,0.3879,-1.0112,0.8990,0.1401,-0.2078,0.3592,0
2132088,1.0000,-0.0031,0.0016,-0.0007,0.1503,0.0348,0.2733,4.4955,1.0221,8.2081,-0.1883,0.0950,-0.0421,0.2961,0.3911,-1.0103,0.9000,0.1371,-0.2076,0.3581,0
2132421,1.0000,-0.0025,0.0033,-0.0014,0.1520,0.0358,0.2736,4.5319,1.0599,8.2258,-0.1512,0.1994,-0.0843,0.2998,0.3960,-1.0088,0.9014,0.1342,-0.2055,0.3567,0
2132755,1.0000,-0.0004,0.0032,-0.0015,0.1448,0.0319,0.2806,4.3156,0.9594,8.4316,-0.0262,0.1935,-0.0924,0.3032,0.3989,-1.0115,0.9026,0.1332,-0.2027,0.3556,0
2133088,1.0000,0.0032,-0.0012,-0.0023,0.1450,0.0364,0.2889,4.3563,1.1304,8.6569,0.1925,-0.0704,-0.1409,0.3037,0.3926,-1.0125,0.9027,0.1373,-0.2024,0.3540,0
2133421,1.0000,0.0046,-0.0020,-0.0026,0.1480,0.0358,0.2799,4.4547,1.1244,8.3819,0.2761,-0.1187,-0.1580,0.2974,0.3882,-1.0127,0.9025,0.1429,-0.2024,0.3522,0
