DeviceTag: Movella DOT3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-13 13:47:33.052,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
3629089,1.0000,0.0005,-0.0003,-0.0011,0.0167,0.0410,0.1565,-nan,-nan,-nan,inf,-inf,-inf,0.3252,-0.3838,-0.9429,0.6299,0.1544,0.0480,0.7596,0
3629423,1.0000,0.0003,-0.0007,-0.0019,0.0485,0.0801,0.3138,1.4567,2.4088,9.4110,0.0193,-0.0406,-0.1160,0.3267,-0.3838,-0.9424,0.6317,0.1432,0.0538,0.7600,0
3629756,1.0000,-0.0007,0.0030,-0.0018,0.0452,0.0736,0.3030,1.3261,2.2046,9.0966,-0.0432,0.1809,-0.1053,0.3333,-0.3840,-0.9451,0.6314,0.1366,0.0553,0.7613,0
3630089,1.0000,-0.0007,0.0023,-0.0021,0.0310,0.0723,0.2966,0.9037,2.1654,8.9029,-0.0390,0.1396,-0.1280,0.3425,-0.3840,-0.9431,0.6315,0.1314,0.0563,0.7621,0
3630423,1.0000,0.0007,0.0010,-0.0012,0.0375,0.0713,0.2978,1.1138,2.1477,8.9348,0.0421,0.0623,-0.0729,0.3459,-0.3848,-0.9446,0.6309,0.1286,0.0576,0.7630,0
3630756,1.0000,0.0012,0.0009,-0.0001,0.0275,0.0803,0.3089,0.8156,2.4202,9.2653,0.0734,0.0562,-0.0052,0.3481,-0.3877,-0.9387,0.6294,0.1271,0.0592,0.7643,0
3631089,1.0000,-0.0005,-0.0003,-0.0004,0.0170,0.0902,0.3190,0.5115,2.7009,9.5702,-0.0279,-0.0204,-0.0246,0.3479,-0.3867,-0.9431,0.6286,0.1256,0.0594,0.7652,0
3631423,1.0000,-0.0019,0.0008,-0.0009,0.0347,0.0816,0.3054,1.0298,2.4325,9.1684,-0.1160,0.0509,-0.0527,0.3518,-0.3843,-0.9436,0.6282,0.1224,0.0598,0.7660,0
3631756,1.0000,-0.0009,0.0003,0.0005,0.0184,0.0735,0.2983,0.5502,2.1976,8.9510,-0.0533,0.0184,0.0303,0.3484,-0.3848,-0.9436,0.6268,0.1207,0.0602,0.7674,0
3632089,1.0000,0.0004,-0.0017,0.0009,0.0307,0.0690,0.2982,0.9393,2.0722,8.9446,0.0268,-0.1018,0.0519,0.3464,-0.3838,-0.9451,0.6252,0.1214,0.0602,0.7686,0
3632423,1.0000,-0.0002,0.0008,0.0004,0.0301,0.0739,0.2991,0.8966,2.2148,8.9745,-0.0133,0.0506,0.0258,0.3494,-0.3857,-0.9417,0.6239,0.1198,0.0610,0.7699,0
3632756,1.0000,-0.0006,0.0029,-0.0003,0.0260,0.0788,0.3053,0.7528,2.3580,9.1610,-0.0333,0.1729,-0.0190,0.3523,-0.3828,-0.9402,0.6230,0.1166,0.0629,0.7709,0
3633089,1.0000,-0.0001,0.0025,0.0003,0.0198,0.0858,0.3116,0.5696,2.5726,9.3505,-0.0031,0.1528,0.0174,0.3582,-0.3804,-0.9426,0.6218,0.1140,0.0649,0.7721,0
3633423,1.0000,0.0002,0.0008,0.0003,0.0114,0.0918,0.3194,0.3365,2.7557,9.5808,0.0095,0.0489,0.0176,0.3562,-0.3867,-0.9402,0.6208,0.1130,0.0661,0.7729,0
3633756,1.0000,-0.0006,0.0017,-0.0008,0.0171,0.0934,0.3214,0.4934,2.7952,9.6443,-0.0381,0.1001,-0.0452,0.3611,-0.3831,-0.9402,0.6207,0.1108,0.0674,0.7733,0
3634089,1.0000,-0.0020,0.0019,-0.0015,0.0196,0.0913,0.3198,0.5669,2.7198,9.6017,-0.1213,0.1148,-0.0873,0.3621,-0.3831,-0.9421,0.6213,0.1075,0.0679,0.7732,0
