DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-28 11:02:04.232,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
3272066,1.0000,0.0004,-0.0002,0.0003,0.0039,0.0039,0.3105,0.1184,0.1219,9.3163,0.0268,-0.0097,0.0165,0.2173,0.7288,-1.1433,0.9915,0.0072,-0.0065,0.1300,0.7201,-0.8407,14.9309,0
3272399,1.0000,0.0004,-0.0002,0.0003,0.0050,0.0035,0.3110,0.1522,0.1098,9.3309,0.0265,-0.0097,0.0157,0.2168,0.7302,-1.1458,0.9915,0.0071,-0.0066,0.1300,0.7075,-0.8553,14.9321,0
3272732,1.0000,0.0005,-0.0002,0.0003,0.0043,0.0037,0.3106,0.1306,0.1159,9.3169,0.0272,-0.0099,0.0158,0.2197,0.7307,-1.1443,0.9915,0.0071,-0.0066,0.1300,0.7084,-0.8550,14.9307,0
3273066,1.0000,0.0004,-0.0002,0.0003,0.0046,0.0041,0.3109,0.1406,0.1274,9.3268,0.0262,-0.0106,0.0171,0.2197,0.7322,-1.1448,0.9915,0.0071,-0.0066,0.1300,0.7075,-0.8560,14.9320,0
3273399,1.0000,0.0005,-0.0002,0.0003,0.0048,0.0039,0.3113,0.1464,0.1218,9.3379,0.0272,-0.0090,0.0166,0.2163,0.7283,-1.1462,0.9915,0.0071,-0.0066,0.1300,0.7084,-0.8541,14.9324,0
3273733,1.0000,0.0004,-0.0002,0.0003,0.0044,0.0038,0.3106,0.1348,0.1174,9.3189,0.0266,-0.0110,0.0173,0.2158,0.7317,-1.1448,0.9915,0.0071,-0.0066,0.1300,0.7082,-0.8559,14.9336,0
3274066,1.0000,0.0005,-0.0002,0.0003,0.0044,0.0037,0.3108,0.1350,0.1137,9.3251,0.0272,-0.0096,0.0160,0.2173,0.7317,-1.1477,0.9915,0.0071,-0.0066,0.1300,0.7092,-0.8550,14.9331,0
3274399,1.0000,0.0004,-0.0002,0.0003,0.0048,0.0042,0.3114,0.1459,0.1287,9.3424,0.0268,-0.0099,0.0172,0.2173,0.7283,-1.1443,0.9915,0.0071,-0.0066,0.1300,0.7093,-0.8548,14.9341,0
3274733,1.0000,0.0004,-0.0001,0.0003,0.0046,0.0038,0.3105,0.1408,0.1175,9.3163,0.0268,-0.0088,0.0170,0.2178,0.7312,-1.1511,0.9915,0.0071,-0.0066,0.1300,0.7094,-0.8525,14.9349,0
3275066,1.0000,0.0005,-0.0002,0.0003,0.0046,0.0038,0.3102,0.1396,0.1173,9.3069,0.0272,-0.0101,0.0166,0.2173,0.7317,-1.1448,0.9915,0.0071,-0.0066,0.1300,0.7103,-0.8525,14.9352,0
3275399,1.0000,0.0004,-0.0002,0.0003,0.0046,0.0037,0.3105,0.1394,0.1152,9.3160,0.0266,-0.0097,0.0161,0.2163,0.7322,-1.1438,0.9915,0.0071,-0.0066,0.1300,0.7100,-0.8519,14.9339,0
3275733,1.0000,0.0004,-0.0002,0.0003,0.0045,0.0035,0.3105,0.1368,0.1102,9.3163,0.0255,-0.0098,0.0177,0.2158,0.7312,-1.1458,0.9915,0.0071,-0.0066,0.1300,0.7078,-0.8515,14.9356,0
3276066,1.0000,0.0004,-0.0002,0.0003,0.0044,0.0034,0.3106,0.1331,0.1065,9.3172,0.0269,-0.0099,0.0162,0.2207,0.7322,-1.1453,0.9915,0.0071,-0.0066,0.1300,0.7081,-0.8513,14.9346,0
3276399,1.0000,0.0004,-0.0002,0.0003,0.0046,0.0038,0.3110,0.1384,0.1188,9.3309,0.0259,-0.0097,0.0168,0.2192,0.7297,-1.1462,0.9915,0.0071,-0.0066,0.1300,0.7064,-0.8507,14.9352,0
3276733,1.0000,0.0005,-0.0002,0.0003,0.0043,0.0036,0.3104,0.1305,0.1109,9.3120,0.0270,-0.0098,0.0169,0.2173,0.7317,-1.1428,0.9915,0.0071,-0.0066,0.1300,0.7070,-0.8504,14.9358,0
3277066,1.0000,0.0004,-0.0002,0.0003,0.0048,0.0037,0.3100,0.1464,0.1154,9.2988,0.0265,-0.0109,0.0160,0.2148,0.7307,-1.1467,0.9915,0.0071,-0.0066,0.1300,0.7067,-0.8521,14.9343,0
3277399,1.0000,0.0004,-0.0002,0.0003,0.0045,0.0039,0.3108,0.1374,0.1210,9.3245,0.0267,-0.0103,0.0161,0.2173,0.7312,-1.1414,0.9915,0.0071,-0.0066,0.1300,0.7066,-0.8526,14.9332,0
3277733,1.0000,0.0005,-0.0002,0.0003,0.0049,0.0036,0.3104,0.1498,0.1122,9.3134,0.0274,-0.0101,0.0166,0.2168,0.7302,-1.1453,0.9915,0.0071,-0.0066,0.1300,0.7079,-0.8528,14.9332,0
3278066,1.0000,0.0004,-0.0002,0.0003,0.0047,0.0037,0.3105,0.1433,0.1146,9.3149,0.0268,-0.0100,0.0160,0.2144,0.7314,-1.1506,0.9915,0.0071,-0.0066,0.1300,0.7080,-0.8527,14.9323,0
